Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,单位：万人民币,单位：万人民币,单位：万人民币
收发货人所在地,进出口,进出口,出口,出口,进口,进口,累计比去年同期±％,累计比去年同期±％.1,累计比去年同期±％.2
收发货人所在地,4月,1至4月,4月,1至4月,4月,1至4月,进出口,出口,进口
总值,383906469,1413892816,226452588,839377108,157453881,574515707,2.4,7.5,-4.2
北京市,27835800,99823999,5299532,20055835,22536267,79768164,-18.7,4.8,-23.1
中关村国家自主创新示范区,610385,1914761,154853,649081,455532,1265679,13.4,-6.2,27.0
北京经济技术开发区,1470480,5821531,531525,2014709,938955,3806821,-0.7,14.5,-7.2
天津市,6727578,25282230,3649951,12937209,3077627,12345021,-2.9,2.5,-7.9
天津滨海新区,4543019,17215170,2082892,7309839,2460127,9905330,-3.7,-0.8,-5.7
天津经济技术开发区,1991551,7213294,1119094,3711170,872457,3502123,2.5,8.7,-3.4
天津滨海高新技术产业开发区,126209,616900,108140,530784,18069,86116,-11.3,-2.3,-43.4
河北省,4738619,18386582,3216228,11552550,1522392,6834032,-9.1,-4.2,-16.2
石家庄市,1114712,4211148,715921,2680725,398790,1530423,3.9,13.9,-9.9
石家庄高新技术产业开发区,504,2116,504,2116,-,-,-29.6,-5.8,-
唐山市,1006069,4112157,333551,1261485,672518,2850672,-22.9,-18.8,-24.6
曹妃甸经济技术开发区,36758,124840,2865,22589,33893,102251,-51.7,-82.4,-21.4
秦皇岛市,311708,1247321,237024,941408,74685,305913,0.0,2.4,-6.7
秦皇岛经济技术开发区,245998,944206,185289,737924,60709,206282,6.0,12.4,-11.8
保定市,856900,2723655,832624,2617921,24276,105734,14.8,15.7,-4.7
保定高新技术产业开发区,1297,5858,1295,5716,2,142,-4.3,-2.1,-50.1
廊坊市,395842,1475213,226093,770454,169749,704760,-18.1,-25.7,-7.8
廊坊经济技术开发区,5754,27124,5258,14865,496,12259,-84.6,69.9,-92.7
雄安新区,36512,146942,18883,114320,17628,32622,61.4,58.6,72.1
山西省,1151575,4701755,564329,2395445,587245,2306310,-23.4,-37.3,-0.4
太原市,731407,3107547,367689,1674463,363717,1433083,-33.7,-46.3,-8.8
太原经济技术开发区,356837,1685503,221974,1133149,134863,552353,-46.8,-54.0,-21.4
太原高新技术产业开发区,103098,261924,13473,44392,89625,217531,166.5,24.6,247.2
大同市,29952,124111,26054,103381,3898,20730,-3.8,-12.7,94.6
大同经济技术开发区,19653,91279,18004,77131,1649,14147,4.4,-11.2,2385.8
晋中市,52703,191146,27749,96179,24954,94968,48.1,5.8,148.6
晋中经济技术开发区,4342,14613,1770,8510,2573,6102,24.9,-11.7,195.8
长治市,11415,43014,11284,40645,131,2370,5.7,49.1,-82.4
长治高新技术产业开发区,1935,9101,1884,7116,51,1985,153.0,187.7,76.7
内蒙古自治区,1956206,6725715,697148,2574134,1259059,4151581,0.3,6.0,-3.0
呼和浩特市,194748,845970,112914,481890,81834,364080,15.2,32.3,-1.6
包头市,211163,836689,103105,408467,108058,428222,-25.3,-18.1,-31.1
包头高新技术产业开发区,32148,82824,22437,51562,9711,31262,743.2,464.4,4447.6
二连浩特市,69342,280745,34885,104731,34457,176014,4.6,15.9,-1.1
满洲里市,180495,654996,93213,310874,87281,344122,5.0,-13.9,31.0
辽宁省,5613498,24093071,3011071,12513515,2602427,11579556,-3.2,7.7,-12.8
沈阳市,1002756,3872671,501429,1990170,501327,1882501,-17.5,15.8,-36.7
沈阳经济技术开发区,513155,1943513,140927,565763,372227,1377751,-15.2,-16.6,-14.7
沈阳高新技术产业开发区,95504,329923,65282,225701,30222,104222,12.7,22.3,-3.6
大连市,3396796,15381397,1765004,7438003,1631792,7943394,5.1,11.1,0.1
大连经济技术开发区,1112671,4639689,550426,2363798,562245,2275891,-2.5,-11.6,9.2
大连高新技术产业园区,56425,232493,45608,193939,10818,38553,-0.3,4.9,-20.0
鞍山市,213036,891989,114734,537082,98302,354907,-13.2,-11.8,-15.1
鞍山高新技术产业开发区,1464,6597,1186,3598,278,2999,-65.2,-79.4,95.7
丹东市,166642,629130,150992,517119,15650,112010,19.4,13.4,57.4
营口市,267830,1215244,189587,768187,78243,447056,-29.6,0.1,-53.3
营口经济技术开发区,9280,30282,818,8323,8462,21959,-19.9,120.6,-35.5
吉林省,1165096,4655598,544404,1887451,620691,2768147,-20.3,-5.0,-28.2
长春市,732425,3116964,234866,914554,497559,2202410,-30.4,-23.8,-32.8
长春经济技术开发区,85556,373145,51209,204889,34347,168257,-2.2,20.6,-20.5
长春高新技术产业开发区,63360,219159,33377,125108,29983,94051,-20.1,-10.8,-29.8
吉林市,66005,276231,43501,190702,22504,85529,40.3,50.3,22.3
吉林高新技术产业开发区,2894,17339,2644,16206,250,1133,15.1,25.4,-47.0
珲春市,216581,675600,135508,310746,81073,364854,9.0,57.4,-13.6
延吉市,10955,39437,5553,18391,5401,21046,60.7,6.9,186.9
黑龙江省,2458792,10815116,627779,3144107,1831012,7671009,2.9,8.5,0.8
哈尔滨市,371757,1812235,177407,1070442,194350,741793,8.5,26.9,-10.2
哈尔滨经济技术开发区,108217,507906,36047,327412,72169,180494,36.9,134.5,-22.0
哈尔滨高新技术产业开发区,92573,439311,34819,237355,57753,201956,24.7,29.0,20.1
大庆市,874646,4940554,38063,144136,836583,4796418,-2.7,-49.3,0.1
大庆高新技术产业开发区,846352,890497,10325,24298,836028,866199,299.8,-81.6,853.1
黑河市,646914,1438053,67516,211511,579398,1226542,31.2,29.0,31.6
绥芬河市,243428,921712,131972,513028,111456,408684,21.8,45.8,0.9
绥化市,55825,204867,37909,152072,17916,52794,9.3,3.3,31.1
绥化经济技术开发区,3149,24543,3149,24537,-,5,-7.4,-7.4,-
上海市,39935144,140483905,16680263,62901978,23254882,77581926,1.0,13.8,-7.4
漕河泾新兴技术开发区,544919,2187097,272001,1035244,272918,1151854,6.2,11.8,1.7
虹桥经济技术开发区,143,380,143,377,-,3,134.3,133.4,423.0
闵行经济技术开发区,109961,376576,70768,246747,39193,129829,24.0,41.0,0.9
上海浦东新区,25536549,85329859,9289034,34320439,16247515,51009420,-1.4,11.9,-8.7
江苏省,49072133,184683818,32616153,123105109,16455980,61578709,5.7,10.3,-2.5
南京市,4579426,17939556,3036956,12152435,1542470,5787120,-0.3,9.5,-16.0
南京高新技术外向型开发区,72145,263327,61857,229276,10289,34051,-17.2,-14.3,-32.4
无锡市,6850417,25038871,4624878,17134310,2225539,7904561,7.6,13.1,-2.8
无锡高新技术产业开发区,3639636,13251155,2149111,8007090,1490525,5244065,13.1,13.9,11.8
常州市,3159663,11526378,2521249,9342107,638414,2184272,14.0,17.7,0.5
常州高新技术产业开发区,1244296,4749465,1025443,3916574,218853,832892,24.1,31.8,-2.7
苏州市,21964857,85210401,13716942,54031852,8247915,31178549,6.8,10.3,1.3
苏州工业园,6603554,24745249,3193151,12668206,3410403,12077044,15.7,18.3,13.0
苏州高新技术产业开发区,1930076,7286348,1284550,4932911,645526,2353437,1.5,4.7,-4.6
南通市,3603999,13057251,2521874,8642553,1082125,4414698,14.4,20.5,4.1
