Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,单位：万人民币,单位：万人民币,单位：万人民币
收发货人所在地,进出口,进出口,出口,出口,进口,进口,累计比去年同期±％,累计比去年同期±％.1,累计比去年同期±％.2
收发货人所在地,6月,1至6月,6月,1至6月,6月,1至6月,进出口,出口,进口
总值,367054282,2116881741,218713476,1212983528,148340807,903898213,6.1,6.9,5.2
北京市,27824523,183345109,5414045,29858438,22410477,153486671,3.6,4.3,3.5
中关村国家自主创新示范区,461052,2558631,198015,1043006,263037,1515625,-10.5,-7.8,-12.4
北京经济技术开发区,1543914,8852381,487475,2688357,1056440,6164024,7.8,11.3,6.4
天津市,7497302,40037136,3284904,19002781,4212398,21034356,1.3,3.5,-0.6
天津滨海新区,5456396,27932215,1875878,11078369,3580518,16853846,0.3,1.3,-0.3
天津经济技术开发区,2252244,11116064,977678,5273742,1274566,5842322,1.2,2.9,-0.4
天津滨海高新技术产业开发区,143407,978363,115889,766397,27518,211967,-7.1,9.6,-40.1
河北省,5344574,31109624,3247526,18525773,2097048,12583851,15.8,13.6,19.1
石家庄市,1037233,6247901,659278,3650163,377955,2597738,7.1,1.9,15.5
石家庄高新技术产业开发区,949,4917,845,3833,104,1084,-2.7,3.1,-18.9
唐山市,1192329,7671580,397029,2266765,795300,5404815,4.8,-4.2,9.0
曹妃甸经济技术开发区,42416,343341,4179,136940,38237,206401,553.6,517.7,579.9
秦皇岛市,388409,2037445,234635,1379034,153774,658411,-1.2,1.7,-6.9
秦皇岛经济技术开发区,298037,1492472,167618,980176,130419,512296,2.1,2.0,2.3
保定市,798863,3910906,766651,3736387,32212,174519,11.0,13.1,-20.4
保定高新技术产业开发区,1530,9176,1530,8890,0,287,24.1,25.9,-13.9
廊坊市,561598,2944944,198491,1455380,363107,1489564,30.5,46.0,18.2
廊坊经济技术开发区,73922,256253,2208,13957,71714,242297,585.6,-56.4,4385.3
雄安新区,37159,158047,32080,128129,5078,29918,8.5,7.4,13.4
山西省,1265441,8636985,692755,5282089,572686,3354896,18.7,19.1,18.1
太原市,892439,6511438,492254,4204598,400185,2306840,16.6,26.3,2.4
太原经济技术开发区,427097,4145644,320444,3221687,106654,923957,20.6,24.0,9.9
太原高新技术产业开发区,25745,153828,12208,55268,13537,98560,-2.8,23.9,-13.3
大同市,33302,190297,29383,173886,3919,16411,-11.3,-10.1,-22.8
大同经济技术开发区,23131,130849,22504,129183,627,1666,-21.9,-17.3,-85.3
晋中市,36392,196694,24794,136170,11599,60524,37.4,1.6,566.3
晋中经济技术开发区,4372,18481,3519,15378,853,3103,126.6,93.5,1388.9
长治市,17931,80449,17508,57561,423,22888,10.7,-12.2,220.7
长治高新技术产业开发区,3932,12003,3509,9987,423,2016,-52.6,-59.1,117.5
内蒙古自治区,1679982,9977943,726548,3811434,953435,6166509,10.8,10.3,11.1
呼和浩特市,167751,1172176,107304,572135,60448,600041,29.7,24.4,35.2
包头市,278323,1672791,155207,765269,123116,907521,16.6,24.0,10.9
包头高新技术产业开发区,5863,16894,5178,15370,685,1524,183.2,207.7,57.0
二连浩特市,114357,460419,40691,166818,73666,293601,-23.2,10.9,-34.6
满洲里市,198296,1016660,139956,631575,58340,385085,-21.2,-21.9,-20.0
辽宁省,6002442,37028725,3158466,17572789,2843975,19455937,-4.6,-1.2,-7.5
沈阳市,1316716,7145217,512476,2608223,804240,4536994,5.4,2.4,7.2
沈阳经济技术开发区,911220,3984263,259501,1089283,651719,2894980,282.5,64.8,660.5
沈阳高新技术产业开发区,102021,465206,53565,283114,48456,182092,-18.7,-11.1,-28.3
大连市,3314640,21590109,1787252,10113249,1527388,11476860,-8.7,-3.9,-12.5
大连经济技术开发区,1130855,7068158,704340,4076542,426515,2991616,-16.9,-1.4,-31.6
大连市高新技术产业园区,49165,335825,39529,268847,9635,66979,10.9,4.7,46.0
鞍山市,265343,1511258,158906,911529,106436,599729,-9.6,-1.3,-19.9
鞍山高新技术产业开发区,2814,24052,1518,20805,1296,3247,53.9,62.4,15.4
丹东市,138051,800542,122919,696352,15131,104189,-5.8,-4.2,-15.2
营口市,330858,2423455,198312,1132964,132547,1290491,-1.9,-4.5,0.5
营口经济技术开发区,1069,8078,849,5264,221,2814,3.7,-8.1,36.3
吉林省,1272557,8719648,508296,3092518,764262,5627129,17.7,9.9,22.5
