Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,单位：万人民币,单位：万人民币,单位：万人民币
收发货人所在地,进出口,进出口,出口,出口,进口,进口,累计比去年同期±％,累计比去年同期±％.1,累计比去年同期±％.2
收发货人所在地,5月,1至5月,5月,1至5月,5月,1至5月,进出口,出口,进口
总值,370772992,1750424634,214706297,995015929,156066695,755408706,6.3,6.1,6.4
北京市,32817642,155575070,5305544,24497511,27512098,131077559,4.3,1.3,4.9
中关村国家自主创新示范区,409945,2097584,153189,844996,256755,1252588,-11.7,-11.6,-11.9
北京经济技术开发区,1447203,7309054,441582,2201174,1005621,5107880,7.4,8.3,7.0
天津市,6470439,32520795,3083151,15696041,3387287,16824754,1.5,8.5,-4.3
天津滨海新区,4554324,22457474,1811091,9180596,2743233,13276878,0.4,10.2,-5.5
天津经济技术开发区,1820700,8866516,884680,4296095,936020,4570421,-4.6,-1.0,-7.8
天津滨海高新技术产业开发区,139408,834956,107153,650508,32255,184448,-6.6,9.7,-38.7
河北省,5337499,25742659,3119285,15281844,2218214,10460815,14.7,12.4,18.3
石家庄市,1110164,5217131,637343,2991210,472821,2225921,7.9,1.3,18.4
石家庄高新技术产业开发区,962,3968,743,2988,219,980,-6.0,-5.4,-7.9
唐山市,1098788,6482110,316643,1869773,782146,4612337,4.1,-4.9,8.3
曹妃甸经济技术开发区,42726,300917,4714,132761,38012,168156,1647.8,674.0,258781.6
秦皇岛市,390665,1648800,218749,1144404,171916,504396,-6.7,0.2,-19.3
秦皇岛经济技术开发区,303955,1194438,156059,812562,147896,381877,-4.8,1.3,-15.7
保定市,738658,3112391,707189,2970088,31469,142303,5.6,7.3,-20.3
保定高新技术产业开发区,1524,7646,1522,7360,2,286,22.8,23.7,3.1
廊坊市,582504,2384718,220094,1257018,362410,1127700,30.9,50.1,14.5
廊坊经济技术开发区,5964,182331,2999,11749,2965,170582,466.1,-57.0,3404.3
雄安新区,29864,120973,23982,96138,5882,24835,20.7,20.6,21.1
山西省,1245931,7382295,764098,4605546,481832,2776749,22.7,26.3,17.1
太原市,919813,5621203,590210,3712541,329603,1908663,22.5,35.6,3.0
太原经济技术开发区,552474,3718743,437799,2901439,114675,817304,34.8,37.9,24.9
太原高新技术产业开发区,27202,128021,7438,43060,19764,84961,9.0,14.1,6.6
大同市,27976,173010,26136,160518,1840,12491,0.9,4.6,-30.9
大同经济技术开发区,20249,123733,19780,122694,469,1038,-6.2,0.2,-89.0
晋中市,31231,160632,20504,111376,10726,49256,39.7,2.3,709.4
晋中经济技术开发区,2393,14109,2223,11859,170,2249,119.4,90.5,995.9
长治市,21223,62519,12791,40053,8432,22465,3.0,-25.4,221.4
长治高新技术产业开发区,4474,8071,4004,6477,470,1593,-63.7,-69.7,85.1
内蒙古自治区,1696112,8300209,659673,3085043,1036439,5215166,10.0,6.3,12.4
呼和浩特市,274385,1004506,104133,464912,170252,539594,31.1,22.5,39.5
包头市,263939,1395475,111207,610062,152732,785412,13.5,18.6,9.8
包头高新技术产业开发区,1208,11031,1057,10192,151,839,107.5,123.6,10.6
二连浩特市,77771,345935,35782,126117,41988,219818,-31.7,7.8,-43.6
满洲里市,195941,818518,130704,491619,65237,326899,-26.1,-29.8,-19.7
辽宁省,6132127,31091936,2795688,14455957,3336439,16635979,-1.2,0.3,-2.5
沈阳市,1132647,5838522,378098,2100046,754549,3738477,3.7,-2.5,7.6
沈阳经济技术开发区,779704,3073201,151365,829783,628339,2243418,255.9,48.2,639.0
沈阳高新技术产业开发区,70569,363185,45044,229549,25525,133636,-23.8,-12.2,-37.8
大连市,3651811,18318226,1625697,8363075,2026114,9955151,-2.4,0.7,-4.8
大连经济技术开发区,1177402,5990421,693471,3408852,483932,2581568,-14.8,1.2,-29.5
大连市高新技术产业园区,53565,286661,44399,229318,9166,57343,22.5,15.5,61.9
鞍山市,222662,1245398,143382,752623,79280,492775,-12.3,-1.6,-24.8
鞍山高新技术产业开发区,2261,21238,1843,19286,419,1951,83.3,88.7,42.7
丹东市,135542,662524,117642,573431,17900,89093,-7.0,-6.1,-12.6
营口市,361134,2098292,167381,934818,193753,1163475,1.2,-6.4,8.2
营口经济技术开发区,1214,7008,804,4416,409,2593,4.8,-6.8,33.0
吉林省,1624257,7444596,597998,2584205,1026260,4860391,24.0,13.4,30.4
长春市,1258032,5736439,369765,1569604,888267,4166835,34.4,31.4,35.5
长春经济技术开发区,114496,496031,34294,204124,80202,291907,-2.8,10.6,-10.4
长春高新技术产业开发区,62499,336806,29026,169342,33473,167463,10.4,15.0,6.2
吉林市,50254,245011,36276,163163,13978,81848,-6.3,-5.6,-7.6
吉林高新技术产业开发区,3186,18251,3084,16010,102,2240,-11.8,7.3,-61.2
珲春市,203912,802974,93012,290441,110899,512533,12.3,-1.6,22.1
黑龙江省,2555958,13069544,536066,3434244,2019892,9635300,9.9,27.4,4.8
哈尔滨市,353780,2032345,134692,977698,219088,1054647,5.7,59.0,-19.4
哈尔滨经济技术开发区,62471,433369,11577,151212,50894,282158,-29.8,123.0,-48.7
哈尔滨高新技术产业开发区,64310,421374,16980,201387,47330,219986,3.6,56.3,-20.8
大庆市,1558880,6636572,60421,344463,1498459,6292109,18.4,24.9,18.0
大庆高新技术产业开发区,34145,256915,22614,154503,11531,102411,4.5,6.4,1.8
黑河市,55447,1151611,42591,206597,12856,945014,6.0,-0.7,7.5
绥芬河市,201276,961535,123233,476436,78044,485099,21.8,52.7,1.6
绥化市,48722,236155,37371,184544,11351,51610,-9.9,26.4,-55.6
绥化经济技术开发区,6934,33432,6934,33432,-,-,-3.9,-3.9,-
上海市,36028479,174918627,15320150,70621403,20708328,104297224,0.8,1.0,0.6
上海漕河泾浦江高科技园区,541356,2588065,267165,1193572,274191,1394493,12.3,26.3,2.5
上海经济技术开发区,30,192,30,191,-,0,-39.3,-38.9,-82.7
