Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,单位：万人民币,单位：万人民币,单位：万人民币
收发货人所在地,进出口,进出口,出口,出口,进口,进口,累计比去年同期±％,累计比去年同期±％.1,累计比去年同期±％.2
收发货人所在地,3月,1至3月,3月,1至3月,3月,1至3月,进出口,出口,进口
总值,355795902,1016929821,198691029,573782193,157104873,443147628,5.0,4.9,5.0
北京市,32983103,90935991,5577831,14576515,27405272,76359476,2.3,-7.1,4.3
中关村国家自主创新示范区,547599,1227641,206601,507793,340999,719848,-14.6,-9.2,-18.0
北京经济技术开发区,1693866,4248412,470253,1251391,1223613,2997022,8.1,8.4,8.0
天津市,7222356,19285572,3433597,9349489,3788759,9936084,4.6,13.5,-2.6
天津滨海新区,5074272,13285196,2081119,5490436,2993153,7794759,3.3,15.8,-3.9
天津经济技术开发区,1887589,5228290,949276,2506788,938313,2721502,-5.1,-0.9,-8.6
天津滨海高新技术产业开发区,167884,535328,122193,418367,45691,116961,2.5,39.4,-47.4
河北省,5453249,15174051,3365037,8783688,2088212,6390363,15.0,15.5,14.3
石家庄市,1044055,3083090,631983,1769385,412072,1313705,7.2,-0.1,18.9
石家庄高新技术产业开发区,1088,2290,795,1719,293,571,-18.9,-17.2,-23.7
唐山市,1354510,4212482,467005,1215506,887504,2996976,7.6,14.4,5.1
曹妃甸经济技术开发区,41246,217011,5777,124168,35469,92843,3005.4,1693.5,142834.4
秦皇岛市,365664,960809,248550,705223,117113,255586,1.5,6.5,-10.0
秦皇岛经济技术开发区,263114,679014,174637,495216,88477,183798,5.3,9.3,-4.1
保定市,709506,1684918,685767,1608213,23740,76705,11.6,13.2,-13.3
保定高新技术产业开发区,1764,4967,1649,4688,115,279,25.1,25.0,26.7
廊坊市,512904,1158560,287625,611116,225279,547444,-0.4,26.4,-19.4
廊坊经济技术开发区,86058,145485,2573,6027,83485,139458,547.0,-68.9,4396.9
雄安新区,19834,64193,15422,50136,4412,14058,25.8,26.0,24.8
山西省,1567430,4587536,1021244,2861090,546186,1726446,29.7,31.9,26.2
