Unnamed: 0,收发货人所在地,当期进出口,当期进口,当期出口,进出口同比,进口同比,出口同比
,合计,4373318106195.0,1124660638053.0,3248657468142.0,7.1,1.8,9.0
,杭州地区,702976414552.0,216224038053.0,486752376498.99994,5.4,-3.4,9.9
,湖州地区,138400369543.0,10977529020.0,127422840523.0,0.7,0.9,0.7
,嘉兴地区,401647730116.0,99109575862.0,302538154254.0,8.5,11.5,7.6
,金华地区,734711024141.0001,87615072820.0,647095951321.0,14.0,-2.5,16.6
,丽水地区,33522095426.0,4281742693.0,29240352733.0,17.2,-17.9,25.1
,宁波地区,1175673143702.0,394263439699.0,781409704003.0,10.8,7.7,12.5
,衢州地区,62432321486.0,19338377551.0,43093943935.0,9.1,-8.2,19.1
,绍兴地区,348935729636.99994,30007052813.0,318928676824.0,0.5,-15.2,2.3
,台州地区,218011563205.0,19523689642.0,198487873563.0,-6.6,1.9,-7.4
,温州地区,246682696755.00003,36229405008.0,210453291747.0,2.9,-14.2,6.5
,舟山地区,310325017632.0,207090714892.0,103234302740.0,4.2,2.4,7.8
, 单位：人民币，万元，%,,,,,,
