Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,单位：万人民币,单位：万人民币,单位：万人民币
收发货人所在地,进出口,进出口,出口,出口,进口,进口,累计比去年同期±％,累计比去年同期±％.1,累计比去年同期±％.2
收发货人所在地,9月,1至9月,9月,1至9月,9月,1至9月,进出口,出口,进口
总值,374798363,3232518116,216530274,1861473784,158268089,1371044332,5.3,6.2,4.1
北京市,30382092,269647236,5414705,45536475,24967387,224110762,0.8,2.1,0.5
中关村国家自主创新示范区,502155,4136858,182233,1582494,319922,2554364,-2.9,-7.3,0.0
北京经济技术开发区,1560460,13592910,443724,4125563,1116736,9467346,10.2,11.4,9.7
天津市,6872177,61028567,3522316,29056361,3349862,31972206,2.0,5.4,-0.9
天津滨海新区,4780404,42506241,2090998,16699949,2689406,25806293,1.1,2.4,0.2
天津经济技术开发区,1892175,16794226,888313,7870721,1003862,8923505,1.6,2.0,1.2
天津滨海高新技术产业开发区,131286,1375984,102230,1088265,29056,287719,-14.1,1.3,-45.5
河北省,4944057,46242779,3041060,27833970,1902998,18408809,12.9,11.8,14.7
石家庄市,1042700,9600962,696052,5714295,346649,3886667,7.7,3.2,15.2
石家庄高新技术产业开发区,789,7920,541,6094,248,1826,7.9,11.9,-3.6
唐山市,1181427,11056682,395361,3463486,786066,7593195,1.1,-4.8,4.1
曹妃甸经济技术开发区,100092,613505,7168,233012,92924,380493,115.0,27.0,273.7
秦皇岛市,377243,3120819,243901,2113108,133342,1007712,-1.6,2.4,-9.1
秦皇岛经济技术开发区,306688,2343612,183616,1529709,123072,813903,2.6,4.7,-1.3
保定市,667021,6002998,634957,5704810,32064,298189,13.6,16.2,-20.7
保定高新技术产业开发区,1269,12819,1184,12344,85,475,16.3,16.2,17.1
廊坊市,374225,4244398,180184,2035069,194041,2209329,30.3,37.5,24.3
廊坊经济技术开发区,4052,291048,3147,22793,904,268256,341.4,-46.8,1061.5
雄安新区,31547,275997,27561,229057,3986,46941,27.6,35.5,-0.6
山西省,1362115,13079995,813851,7995846,548264,5084149,7.9,5.9,11.2
太原市,1030734,9877086,643241,6358450,387493,3518636,2.9,8.0,-5.3
太原经济技术开发区,711448,6463736,491943,4861912,219505,1601823,2.0,1.0,5.3
太原高新技术产业开发区,30216,258063,12497,96016,17719,162046,12.8,34.1,3.1
大同市,26600,277146,21601,247357,4999,29789,-10.3,-10.5,-8.7
大同经济技术开发区,16580,185076,16544,183375,36,1702,-22.5,-16.9,-90.6
晋中市,38569,319129,26872,219607,11698,99522,40.8,4.7,494.2
晋中经济技术开发区,5254,34288,4178,26019,1076,8268,138.6,83.8,3842.6
长治市,11418,123886,7106,90014,4313,33872,21.6,0.3,179.3
长治高新技术产业开发区,1865,23376,1598,15625,267,7750,-29.7,-43.1,33.3
内蒙古自治区,1890455,15365798,845222,6230827,1045233,9134972,11.7,16.7,8.5
呼和浩特市,167693,1673090,93504,885760,74190,787330,31.7,25.1,40.1
包头市,266539,2518105,128652,1154713,137887,1363392,15.1,25.2,7.7
包头高新技术产业开发区,19381,60949,8247,42149,11133,18800,581.6,483.9,990.8
二连浩特市,89410,727576,41414,289517,47995,438059,-14.7,16.5,-27.6
满洲里市,388923,1947394,309120,1338197,79804,609197,2.5,11.3,-12.6
辽宁省,7203558,57357171,3549938,27539135,3653620,29818036,-0.9,3.0,-4.3
