Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,单位：万人民币,单位：万人民币,单位：万人民币
收发货人所在地,进出口,进出口,出口,出口,进口,进口,累计比去年同期±％,累计比去年同期±％.1,累计比去年同期±％.2
收发货人所在地,1月,1至1月,1月,1至1月,1月,1至1月,进出口,出口,进口
总值,367308761,367308761,233547828,233547828,133760933,133760933,-2.2,7.3,-15.3
北京市,21671272,21671272,5520245,5520245,16151027,16151027,-30.1,12.8,-38.1
中关村国家自主创新示范区,495147,495147,207623,207623,287524,287524,22.1,19.1,24.3
北京经济技术开发区,1554132,1554132,478276,478276,1075856,1075856,11.3,13.7,10.3
天津市,6516069,6516069,3463844,3463844,3052225,3052225,-1.7,3.5,-6.9
天津滨海新区,4251615,4251615,1874451,1874451,2377164,2377164,-3.7,-1.6,-5.3
天津经济技术开发区,1587797,1587797,838665,838665,749132,749132,-8.6,4.0,-19.4
天津滨海高新技术产业开发区,209468,209468,188236,188236,21232,21232,-13.7,-11.0,-31.6
河北省,5225647,5225647,3205445,3205445,2020202,2020202,-7.6,1.1,-18.7
石家庄市,1247661,1247661,780004,780004,467657,467657,12.0,21.3,-0.7
石家庄高新技术产业开发区,621,621,621,621,-,-,-6.1,34.4,-
唐山市,1175985,1175985,327635,327635,848349,848349,-34.1,-36.8,-33.1
曹妃甸经济技术开发区,44594,44594,10306,10306,34288,34288,-74.0,-91.0,-40.2
秦皇岛市,306657,306657,230581,230581,76076,76076,3.3,-5.9,46.9
秦皇岛经济技术开发区,226976,226976,179371,179371,47605,47605,10.2,3.6,45.7
保定市,683152,683152,645193,645193,37959,37959,15.9,15.3,27.0
保定高新技术产业开发区,2104,2104,2018,2018,86,86,13.6,14.9,-11.2
廊坊市,479927,479927,252780,252780,227147,227147,18.5,29.3,8.5
廊坊经济技术开发区,15177,15177,4106,4106,11071,11071,-71.5,64.6,-78.2
雄安新区,64643,64643,58582,58582,6061,6061,136.0,167.5,10.2
山西省,1421517,1421517,738701,738701,682816,682816,-18.1,-25.7,-7.9
太原市,968315,968315,534919,534919,433396,433396,-25.7,-32.5,-15.0
太原经济技术开发区,579287,579287,399409,399409,179878,179878,-29.2,-35.8,-8.1
太原高新技术产业开发区,47793,47793,10930,10930,36863,36863,156.3,40.7,239.0
大同市,40459,40459,28397,28397,12062,12062,15.0,-10.5,247.6
大同经济技术开发区,32321,32321,20949,20949,11372,11372,36.5,-9.5,2035.1
晋中市,65182,65182,29184,29184,35998,35998,129.9,9.8,1923.7
晋中经济技术开发区,5153,5153,3686,3686,1468,1468,57.7,12.9,61666.4
长治市,13833,13833,11815,11815,2018,2018,81.5,67.4,259.0
长治高新技术产业开发区,3489,3489,1743,1743,1746,1746,446.5,399.5,503.1
内蒙古自治区,1500257,1500257,618229,618229,882028,882028,-12.2,-7.4,-15.3
呼和浩特市,179564,179564,119160,119160,60403,60403,2.4,17.2,-18.1
包头市,211742,211742,79654,79654,132088,132088,-11.2,-32.7,10.0
包头高新技术产业开发区,20655,20655,5291,5291,15363,15363,3612.0,1470.5,6899.2
二连浩特市,78794,78794,24858,24858,53937,53937,0.4,5.2,-1.7
满洲里市,172576,172576,82714,82714,89862,89862,2.5,-14.8,26.1
辽宁省,6343923,6343923,3686432,3686432,2657490,2657490,1.8,16.6,-13.5
沈阳市,1062857,1062857,639739,639739,423118,423118,-7.7,29.0,-35.5
沈阳经济技术开发区,454602,454602,148076,148076,306527,306527,128.4,42.9,221.2
沈阳高新技术产业开发区,88555,88555,62238,62238,26316,26316,30.5,53.0,-3.2
大连市,4122509,4122509,2285024,2285024,1837485,1837485,15.9,28.1,3.7
大连经济技术开发区,1112428,1112428,656292,656292,456136,456136,-5.7,3.6,-16.5
大连高新技术产业园区,59540,59540,51900,51900,7640,7640,9.9,20.6,-31.6
鞍山市,217594,217594,122030,122030,95564,95564,-31.9,-21.6,-41.7
鞍山高新技术产业开发区,2743,2743,1016,1016,1727,1727,-77.0,-91.4,1755.4
丹东市,174706,174706,139845,139845,34861,34861,18.8,6.6,120.9
营口市,324292,324292,201624,201624,122668,122668,-12.9,-4.2,-24.2
营口经济技术开发区,15270,15270,2163,2163,13108,13108,-23.5,64.1,-29.7
吉林省,1126324,1126324,491107,491107,635217,635217,-29.8,-5.7,-41.4
长春市,724316,724316,269574,269574,454742,454742,-44.3,-21.8,-52.4
长春经济技术开发区,110239,110239,58029,58029,52210,52210,27.0,22.7,32.2
长春高新技术产业开发区,60297,60297,38361,38361,21936,21936,-19.5,-6.6,-35.2
吉林市,81104,81104,56812,56812,24292,24292,68.3,67.4,70.4
吉林高新技术产业开发区,5877,5877,5549,5549,328,328,46.1,79.7,-64.9
珲春市,166243,166243,42225,42225,124018,124018,23.7,3.7,32.4
延吉市,7865,7865,3934,3934,3931,3931,37.8,-8.2,176.8
黑龙江省,2819631,2819631,832697,832697,1986934,1986934,13.1,49.0,2.8
哈尔滨市,475681,475681,331531,331531,144150,144150,20.7,115.1,-39.9
哈尔滨经济技术开发区,227393,227393,199515,199515,27878,27878,101.7,722.2,-68.5
哈尔滨高新技术产业开发区,38194,38194,25397,25397,12797,12797,-34.4,-18.3,-52.9
大庆市,1658582,1658582,47990,47990,1610592,1610592,13.6,-22.0,15.2
大庆高新技术产业开发区,19828,19828,5008,5008,14820,14820,-54.0,-73.8,-38.3
黑河市,59039,59039,49176,49176,9862,9862,46.8,99.2,-36.5
绥芬河市,212237,212237,104828,104828,107409,107409,-8.2,-6.5,-9.9
绥化市,56446,56446,50458,50458,5988,5988,22.2,19.8,47.3
绥化经济技术开发区,13203,13203,13203,13203,-,-,123.7,123.7,-
上海市,33718633,33718633,16923077,16923077,16795556,16795556,-13.3,13.6,-30.0
漕河泾新兴技术开发区,653582,653582,328844,328844,324738,324738,16.1,42.0,-2.1
虹桥经济技术开发区,119,119,118,118,1,1,79.7,79.3,151.5
闵行经济技术开发区,101252,101252,63371,63371,37881,37881,30.6,41.1,16.2
上海浦东新区,18951926,18951926,8806356,8806356,10145570,10145570,-22.4,8.1,-37.7
江苏省,49442177,49442177,33852198,33852198,15589980,15589980,3.9,10.4,-8.0
南京市,4626091,4626091,3228414,3228414,1397677,1397677,-12.5,-7.6,-22.1
南京高新技术外向型开发区,65969,65969,57843,57843,8125,8125,-35.5,-34.6,-41.5
无锡市,6683017,6683017,4743983,4743983,1939034,1939034,5.9,14.6,-10.6
无锡高新技术产业开发区,3259044,3259044,2032200,2032200,1226845,1226845,8.2,11.1,3.7
常州市,3144062,3144062,2612211,2612211,531851,531851,12.9,18.9,-9.5
常州高新技术产业开发区,1224259,1224259,1021893,1021893,202366,202366,23.1,32.0,-8.4
苏州市,22927855,22927855,14918613,14918613,8009242,8009242,5.8,12.7,-5.0
苏州工业园,5877684,5877684,3060987,3060987,2816697,2816697,9.0,12.4,5.5
苏州高新技术产业开发区,1797391,1797391,1234047,1234047,563344,563344,-1.7,-0.2,-4.7
南通市,3777218,3777218,2602656,2602656,1174562,1174562,24.9,33.9,8.8
南通经济技术开发区,581662,581662,329681,329681,251981,251981,8.6,-0.9,24.2
连云港市,1497971,1497971,414627,414627,1083345,1083345,11.9,49.7,2.1
连云港经济技术开发区,461323,461323,132519,132519,328804,328804,139.4,58.4,201.4
浙江省,54866046,54866046,44063136,44063136,10802910,10802910,12.7,20.3,-10.4
杭州市,8243032,8243032,6056239,6056239,2186793,2186793,15.9,25.8,-4.8
杭州经济技术开发区,701576,701576,516013,516013,185563,185563,15.2,19.7,4.2
杭州高新技术产业开发区,272449,272449,208386,208386,64064,64064,17.0,36.8,-20.6
宁波市,14780734,14780734,11029555,11029555,3751179,3751179,18.2,31.8,-9.3
宁波及宁波大榭经济技术开发区,1354872,1354872,777003,777003,577869,577869,-4.6,21.0,-25.8
宁波高新技术产业开发区,458353,458353,341063,341063,117289,117289,41.2,35.4,61.3
宁波杭州湾经济技术开发区,165339,165339,151332,151332,14007,14007,-17.7,-16.9,-25.5
温州市,3147390,3147390,2908001,2908001,239390,239390,10.1,22.0,-49.6
温州经济技术开发区,223984,223984,222370,222370,1615,1615,37.1,37.3,16.2
湖州市,1805876,1805876,1728539,1728539,77338,77338,8.0,9.6,-17.7
湖州经济技术开发区,4329,4329,3665,3665,663,663,-73.1,-26.8,-94.0
湖州莫干山高新技术产业开发区,26853,26853,25430,25430,1423,1423,2.2,44.3,-83.6
金华市,11236065,11236065,10430489,10430489,805576,805576,16.2,21.9,-27.7
金华经济技术开发区,91943,91943,78698,78698,13245,13245,46.4,36.9,147.7
台州市,3182131,3182131,2990893,2990893,191238,191238,25.5,27.7,-1.4
台州湾经济技术开发区,5186,5186,1559,1559,3627,3627,4799.0,-,3326.4
安徽省,8207433,8207433,5611908,5611908,2595525,2595525,22.7,24.1,19.8
合肥市,3750633,3750633,2628745,2628745,1121888,1121888,29.7,35.7,17.6
合肥经济技术开发区,1543213,1543213,887915,887915,655298,655298,35.4,34.9,36.2
合肥高新技术产业开发区,925676,925676,846250,846250,79426,79426,54.7,72.3,-26.1
芜湖市,1362111,1362111,1090761,1090761,271350,271350,19.7,20.4,17.1
芜湖经济技术开发区,838420,838420,735068,735068,103351,103351,16.6,15.1,27.8
芜湖高新技术产业开发区,22025,22025,18450,18450,3575,3575,-9.0,10.3,-52.1
蚌埠市,138494,138494,88366,88366,50128,50128,-17.9,-16.9,-19.8
蚌埠高新技术产业开发区,24758,24758,17265,17265,7493,7493,-7.7,11.2,-33.7
淮南市,64712,64712,59564,59564,5148,5148,-14.0,-19.6,340.4
淮南经济技术开发区,30114,30114,29652,29652,462,462,230.3,230.4,220.8
淮南高新技术产业开发区,4120,4120,3990,3990,130,130,-,-,-
马鞍山市,391719,391719,248155,248155,143564,143564,18.4,30.7,1.7
马鞍山经济技术开发区,37055,37055,36839,36839,216,216,-7.1,-6.6,-54.6
马鞍山慈湖高新技术产业开发区,37966,37966,36094,36094,1872,1872,14.4,18.8,-33.2
铜陵市,805732,805732,98977,98977,706756,706756,31.0,67.3,27.2
铜陵经济技术开发区,69030,69030,60185,60185,8845,8845,78.9,123.6,-24.1
安庆市,435145,435145,365359,365359,69787,69787,24.2,22.0,37.5
安庆经济技术开发区,269061,269061,213512,213512,55549,55549,6.9,-0.6,50.3
桐城经济技术开发区,1407,1407,1362,1362,45,45,99.5,111.7,-27.7
滁州市,388459,388459,352937,352937,35523,35523,14.2,14.8,8.0
滁州经济技术开发区,122746,122746,106170,106170,16576,16576,6.2,4.9,15.2
