Unnamed: 0,收发货人所在地,当期进出口,当期进口,当期出口,进出口同比,进口同比,出口同比
,合计,3929924562515.0,1015830015847.0,2914094546668.0,6.7,3.5,7.8
,杭州地区,629194123097.0,195891933451.99997,433302189645.0,5.3,-1.0,8.5
,湖州地区,126163033860.0,10165255150.0,115997778710.0,1.8,1.2,1.8
,嘉兴地区,361972254922.0,89684115485.0,272288139437.0,9.3,17.3,6.9
,金华地区,655535632392.0,77551577648.0,577984054744.0,12.5,-2.6,14.9
,丽水地区,29554505976.0,3573250919.0,25981255057.0,15.3,-23.1,23.8
,宁波地区,1053717741207.0,356081972931.0,697635768276.0,10.3,9.0,11.0
,衢州地区,56912015161.0,17798321855.0,39113693306.0,8.6,-7.9,18.3
,绍兴地区,318101313464.0,26911419299.0,291189894165.0,0.5,-15.3,2.3
,台州地区,196956297641.0,17332671931.0,179623625710.0,-7.9,-0.3,-8.6
,温州地区,220513814694.0,33570360310.999996,186943454383.0,-0.2,-14.1,2.8
,舟山地区,281303830101.0,187269136866.0,94034693235.0,6.3,4.9,9.2
, 单位：人民币，万元，%,,,,,,
