Unnamed: 0,收发货人所在地,当期进出口,当期进口,当期出口,进出口同比,进口同比,出口同比
,合计,816865355098.0,217763996942.0,599101358156.0,18.144408834297852,14.600957483770802,19.487315431008604
,杭州地区,124597891525.0,42377819545.0,82220071980.0,16.589050126053063,14.557052069184175,17.66479367732522
,湖州地区,29132072419.0,1805893932.0,27326178487.0,22.263093049187177,-1.328420339452454,24.22595337566579
,嘉兴地区,71637347589.0,19869446453.0,51767901136.0,17.814058061541395,28.97881367914261,14.02563430889555
,金华地区,148172749232.0,17556234917.0,130616514315.0,34.063461522608954,18.030919758522575,36.556636113357406
,丽水地区,6095154046.0,891076340.0,5204077706.0,16.214570028953222,-28.169536666788424,29.965003107491995
,宁波地区,217834250383.0,77062310252.0,140771940131.0,16.301950893082214,14.41478558213268,17.361643501309214
,衢州地区,9334996966.0,2898301676.0,6436695290.0,-9.739550700906,-33.28842171828331,7.318252775415742
,绍兴地区,66982141326.0,5893552082.0,61088589244.0,27.314516254004506,28.915220181064672,27.162187518851237
,台州地区,40666858396.0,3230841294.0,37436017102.0,-6.309007843232642,-17.689364099743727,-5.177553470408325
,温州地区,46970880924.0,8729804647.0,38241076277.0,19.50187649403349,45.57766821908341,14.8074012859396
,舟山地区,55441012292.0,37448715804.0,17992296488.0,8.33367635488927,11.83758772862302,1.7016871631444175
, 单位：人民币，元，%,,,,,,
