Unnamed: 0,收发货人所在地,当期进出口,当期进口,当期出口,进出口同比,进口同比,出口同比
,合计,548660461502.0,108029101128.0,440631360374.0,12.7,-10.4,20.3
,杭州地区,82430322193.0,21867933887.0,60562388306.0,15.9,-4.8,25.8
,湖州地区,18058764953.0,773378864.0,17285386089.0,8.0,-17.7,9.6
,嘉兴地区,43279810804.0,10385065956.0,32894744848.000004,8.2,-4.0,12.7
,金华地区,112360647567.0,8055758034.0,104304889533.0,16.2,-27.7,21.9
,丽水地区,4895600537.0,647789711.0,4247810826.0,30.7,53.6,27.8
,宁波地区,147807340716.0,37511791526.0,110295549190.0,18.2,-9.3,31.8
,衢州地区,6332123888.0,2431705883.0,3900418005.0,18.2,63.0,0.8
,绍兴地区,40112038348.0,2746352135.0,37365686213.0,-2.9,-18.5,-1.6
,台州地区,31821313742.0,1912384586.0000002,29908929156.0,25.5,-1.4,27.7
,温州地区,31473901926.0,2393895992.0,29080005934.0,10.1,-49.6,22.0
,舟山地区,30088596828.0,19303044554.0,10785552274.0,-8.3,-9.8,-5.6
, 单位：人民币，万元，%,,,,,,
