Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,单位：万人民币,单位：万人民币,单位：万人民币
收发货人所在地,进出口,进出口,出口,出口,进口,进口,累计比去年同期±％,累计比去年同期±％.1,累计比去年同期±％.2
收发货人所在地,8月,1至8月,8月,1至8月,8月,1至8月,进出口,出口,进口
总值,375227491,2858381461,220080614,1645524758,155146876,1212856704,6.0,6.9,4.7
北京市,29221238,239348913,5294380,40198569,23926858,199150344,0.7,2.7,0.4
中关村国家自主创新示范区,555423,3634632,187637,1400276,367785,2234356,-4.3,-7.9,-1.8
北京经济技术开发区,1490286,12032432,485242,3681822,1005044,8350611,10.0,11.8,9.2
天津市,7064170,54170084,3370750,25534067,3693420,28636018,2.2,4.6,0.1
天津滨海新区,4769598,37739081,1775749,14609252,2993849,23129829,1.1,0.9,1.1
天津经济技术开发区,1942211,14904526,878325,6982395,1063886,7922131,1.9,2.9,0.9
天津滨海高新技术产业开发区,132030,1244439,109018,985771,23013,258668,-14.9,2.0,-47.8
河北省,5089559,41339476,3101507,24792939,1988052,16546538,14.2,12.9,16.2
石家庄市,1178066,8578830,690418,5017356,487649,3561474,8.8,2.3,19.3
石家庄高新技术产业开发区,1250,7131,931,5553,319,1578,11.4,16.0,-2.5
唐山市,1085626,9899082,379917,3068176,705709,6830907,1.7,-3.7,4.4
曹妃甸经济技术开发区,51065,513813,7020,225844,44045,287969,112.8,28.4,339.0
秦皇岛市,389632,2745720,256567,1869219,133065,876501,-3.9,2.5,-15.2
秦皇岛经济技术开发区,305449,2036926,196166,1346095,109283,690831,-1.6,4.3,-11.3
保定市,693871,5336527,648525,5070403,45347,266124,13.7,16.0,-17.3
保定高新技术产业开发区,1256,11550,1199,11160,57,390,17.2,17.3,13.8
廊坊市,456526,3870897,219435,1855201,237090,2015696,34.5,41.1,29.0
廊坊经济技术开发区,4398,286997,3147,19645,1251,267351,400.7,-51.8,1510.3
雄安新区,36170,244450,30684,201496,5486,42954,29.3,35.6,5.9
山西省,1603592,11723618,1080232,7182011,523361,4541607,12.2,11.5,13.3
太原市,1229498,8849903,877790,5715225,351708,3134678,7.6,14.8,-3.6
太原经济技术开发区,881937,5752404,657403,4369969,224534,1382434,7.4,8.1,5.4
