Unnamed: 0,收发货人所在地,当期进出口,当期进口,当期出口,进出口同比,进口同比,出口同比
,合计,1640074385946.0,443660630371.0,1196413755575.0,6.846842439406611,10.59196930855821,5.521725151837156
,杭州地区,257306671538.0,89925675779.0,167380995759.0,4.473924316654393,12.118368188715426,0.7821896408475835
,湖州地区,60984006295.0,4167656496.0,56816349799.0,12.24340406273248,2.5722570364712767,13.025106718347082
,嘉兴地区,150047744440.0,37988263959.0,112059480481.0,8.736731456164629,20.603995822110285,5.2266632026987825
,金华地区,261563438924.0,31332498498.0,230230940426.0,12.582113174975905,-7.6471159098995685,16.041289962566204
,丽水地区,11569975517.0,1600443754.0,9969531763.0,9.019194352801623,-19.821579034258786,15.700319648657207
,宁波地区,436484552590.0,158671410225.0,277813142365.0,8.34183537790169,13.425132915603536,5.637866126709777
,衢州地区,23244787352.0,7462233271.0,15782554081.0,8.818091399540933,-9.025046543733563,19.940723996397246
,绍兴地区,153122001711.0,14284130482.0,138837871229.0,15.43831951371768,54.485402069727776,12.51249836929519
,台州地区,83426695683.0,7410046411.0,76016649272.0,-13.071640061055662,-9.17324515011664,-13.433826728292564
,温州地区,87668451465.0,15788340434.0,71880111031.0,-7.967430116455443,14.807873859250673,-11.810151078038276
,舟山地区,114656060431.0,75029931062.0,39626129369.0,8.875782096468008,6.837109802102415,12.957015119768597
, 单位：人民币，元，%,,,,,,
