Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,单位：万人民币,单位：万人民币,单位：万人民币
收发货人所在地,进出口,进出口,出口,出口,进口,进口,累计比去年同期±％,累计比去年同期±％.1,累计比去年同期±％.2
收发货人所在地,2月,1至2月,2月,1至2月,2月,1至2月,进出口,出口,进口
总值,286327020,653635780,154573252,388121080,131753768,265514701,-1.2,3.4,-7.3
北京市,23663498,45334769,3957481,9477725,19706017,35857044,-22.0,5.5,-27.0
中关村国家自主创新示范区,316838,811985,125705,333329,191132,478656,19.4,10.7,26.3
北京经济技术开发区,1149302,2703433,397832,876108,751470,1827325,5.8,12.1,3.0
天津市,5583751,12099820,2399319,5863164,3184432,6236657,0.4,-0.9,1.7
天津滨海新区,4000287,8251902,1370611,3245062,2629676,5006840,0.7,-4.8,4.5
天津经济技术开发区,1561078,3148875,705483,1544148,855595,1604726,-5.7,-0.9,-9.9
天津滨海高新技术产业开发区,102260,311728,83520,271756,18740,39972,-15.2,-8.2,-43.9
河北省,3938336,9163982,2158210,5363655,1780126,3800328,-5.4,-0.2,-12.0
石家庄市,817642,2065303,478506,1258509,339136,806793,1.3,10.7,-10.6
石家庄高新技术产业开发区,292,913,292,913,-,-,-24.0,-1.3,-
唐山市,1004794,2180779,285209,612845,719585,1567934,-23.5,-18.1,-25.4
曹妃甸经济技术开发区,5571,50165,5473,15780,98,34386,-71.5,-86.7,-40.1
秦皇岛市,294606,601262,222259,452840,72347,148422,2.0,0.5,7.0
秦皇岛经济技术开发区,240103,467079,181317,360688,58786,106391,12.3,12.5,11.6
保定市,508963,1192115,489128,1134320,19836,57795,22.3,23.0,8.9
保定高新技术产业开发区,872,2976,872,2890,-,86,-7.1,-4.9,-47.6
廊坊市,330451,810378,111987,364767,218464,445611,25.6,13.1,38.2
廊坊经济技术开发区,1218,16395,926,5032,292,11363,-72.4,45.7,-79.7
雄安新区,19311,83953,14424,73005,4887,10948,89.3,110.3,13.5
山西省,960614,2382131,500799,1239500,459815,1142631,-21.5,-32.5,-4.6
太原市,653748,1622063,362511,897430,291237,724633,-30.7,-40.1,-14.1
太原经济技术开发区,345397,924684,252123,651533,93273,273151,-38.5,-44.9,-14.9
太原高新技术产业开发区,44007,91801,9381,20312,34626,71489,187.0,45.1,297.5
大同市,26069,66527,24884,53281,1185,13247,1.6,-11.9,165.0
大同经济技术开发区,21235,53556,20766,41715,469,11842,18.2,-6.9,2122.5
晋中市,33583,98765,17910,47095,15672,51670,119.8,14.9,1207.4
晋中经济技术开发区,2431,7584,1010,4696,1421,2888,37.6,-6.2,467.4
长治市,6436,20269,6366,18180,70,2089,-17.5,53.0,-83.5
长治高新技术产业开发区,1086,4575,1046,2789,41,1787,223.7,211.2,245.5
内蒙古自治区,1403054,2903311,517517,1135747,885536,1767564,-5.8,2.4,-10.5
呼和浩特市,196038,375602,99200,218361,96838,157241,13.3,30.7,-4.4
包头市,212992,424734,105952,185606,107041,239128,-13.6,-8.3,-17.3
包头高新技术产业开发区,7134,27789,4070,9362,3064,18427,3109.4,1363.5,8047.8
二连浩特市,54936,133730,19562,44419,35374,89311,5.3,24.3,-2.1
满洲里市,125036,297612,49533,132246,75503,165365,-0.9,-23.1,28.8
辽宁省,5326172,11670094,2538098,6224530,2788074,5445564,6.2,16.2,-3.4
沈阳市,780864,1843722,352886,992625,427978,851097,-19.1,17.5,-40.6
沈阳经济技术开发区,470337,924940,139309,287384,331029,637555,52.7,17.2,76.9
沈阳高新技术产业开发区,58294,146849,38689,100927,19606,45922,6.8,11.5,-2.2
大连市,3514126,7636635,1504828,3789853,2009297,3846782,25.5,28.9,22.4
大连经济技术开发区,1092971,2205398,504162,1160454,588808,1044944,5.3,1.4,9.9
大连高新技术产业园区,45535,105075,34139,86039,11396,19036,-0.1,3.9,-14.9
鞍山市,220113,437707,132443,254472,87671,183235,-23.1,-14.6,-32.5
鞍山高新技术产业开发区,1252,3996,377,1393,875,2602,-74.7,-91.1,1347.3
丹东市,89826,264532,74946,214790,14880,49741,4.1,-1.8,40.3
营口市,248317,572609,159210,360834,89107,211775,-16.4,-4.0,-31.6
营口经济技术开发区,662,15933,517,2680,145,13253,-33.9,37.1,-40.2
吉林省,1133843,2260167,342947,834055,790896,1426112,-18.3,-5.8,-24.3
长春市,848311,1572627,174571,444145,673740,1128482,-27.0,-13.3,-31.3
长春经济技术开发区,64964,175203,37940,95969,27024,79234,6.8,10.6,2.5
长春高新技术产业开发区,43617,103914,22706,61067,20911,42847,-22.4,-12.8,-32.9
吉林市,67574,148679,44324,101136,23251,47543,62.3,59.6,68.6
吉林高新技术产业开发区,3075,8952,2823,8372,252,580,43.1,75.2,-60.7
珲春市,97033,263276,38508,80733,58525,182543,-0.4,-11.2,5.2
延吉市,8433,16299,2277,6211,6157,10088,72.0,-11.8,314.0
黑龙江省,2397395,5217026,479115,1311813,1918279,3905214,8.7,33.2,2.4
哈尔滨市,270256,745936,124077,455607,146179,290329,11.8,78.8,-29.6
哈尔滨经济技术开发区,82419,309812,31078,230592,51342,79220,73.7,648.8,-46.3
哈尔滨高新技术产业开发区,46574,84768,19527,44924,27047,39844,-33.9,-19.7,-44.9
大庆市,985942,2644524,24789,72779,961153,2571745,6.8,-33.3,8.6
大庆高新技术产业开发区,9527,29355,3817,8825,5710,20530,-65.5,-78.0,-54.4
黑河市,661732,720771,35743,84919,625990,635852,23.2,74.7,18.5
绥芬河市,178143,390380,82724,187552,95419,202828,-5.9,-1.7,-9.5
绥化市,34616,91062,23907,74364,10710,16698,4.7,5.0,3.3
绥化经济技术开发区,2883,16086,2880,16083,3,3,33.3,33.3,-
上海市,30866697,64585330,13071662,29994739,17795035,34590592,-4.7,12.7,-15.9
漕河泾新兴技术开发区,476770,1130352,164923,493767,311847,636585,21.1,22.3,20.1
虹桥经济技术开发区,26,145,26,144,1,1,35.7,34.8,315.9
闵行经济技术开发区,79450,180702,53703,117074,25747,63628,32.6,43.0,17.0
上海浦东新区,19451758,38403684,7799717,16606073,11652042,21797611,-8.4,13.6,-20.2
江苏省,36985523,86427701,22873844,56726042,14111679,29701659,1.7,4.8,-3.7
南京市,3478321,8104412,2143232,5371646,1335089,2732766,-10.2,-7.5,-15.0
南京高新技术外向型开发区,52926,118895,45822,103665,7104,15230,-34.4,-31.7,-48.5
无锡市,5275187,11958205,3421575,8165558,1853613,3792647,4.8,9.8,-4.5
无锡高新技术产业开发区,2966323,6225367,1754685,3786884,1211638,2438483,10.3,10.1,10.8
常州市,2103949,5248012,1651432,4263643,452517,984368,8.7,11.9,-3.3
常州高新技术产业开发区,915678,2139937,720381,1742274,195297,397663,22.1,27.0,4.3
苏州市,17523449,40451304,10410636,25329249,7112813,15122054,4.4,7.7,-0.7
苏州工业园,5485391,11363074,2647838,5708825,2837553,5654250,8.4,13.1,4.0
苏州高新技术产业开发区,1502102,3299493,954267,2188313,547836,1111180,0.2,-1.9,4.7
南通市,2454441,6231659,1379764,3982420,1074677,2249239,14.1,15.4,11.8
南通经济技术开发区,417410,999072,204084,533765,213326,465307,3.1,-9.4,22.4
连云港市,1248739,2746710,306183,720810,942556,2025900,0.6,41.1,-8.7
连云港经济技术开发区,293945,755268,76279,208798,217666,546470,79.7,22.2,119.1
浙江省,29605612,84471658,19260406,63323542,10345206,21148116,3.3,5.5,-3.0
杭州市,5328958,13571991,3413293,9469531,1915666,4102459,7.8,13.4,-3.2
杭州经济技术开发区,552429,1254004,342064,858076,210365,395928,8.5,5.8,14.9
杭州高新技术产业开发区,162699,435148,97171,305557,65528,129591,3.0,13.5,-15.3
宁波市,8606774,23387508,4934775,15964330,3671998,7423177,7.4,13.5,-3.8
宁波及宁波大榭经济技术开发区,1192013,2546885,492164,1269167,699849,1277719,-4.7,13.2,-17.6
宁波高新技术产业开发区,250682,709034,143468,484532,107213,224503,23.0,11.5,58.5
宁波杭州湾经济技术开发区,102975,268314,75081,226413,27894,41901,-11.9,-16.8,29.4
温州市,1484781,4632171,1235976,4143977,248805,488195,-1.2,8.6,-43.9
温州经济技术开发区,72976,296960,70934,293303,2042,3657,11.1,10.6,81.2
湖州市,983758,2789635,900478,2629017,83280,160618,-1.7,-1.0,-12.2
湖州经济技术开发区,3394,7723,1740,5405,1654,2318,-71.0,-52.5,-84.8
湖州莫干山高新技术产业开发区,24333,51187,19307,44737,5026,6450,0.9,28.5,-59.5
金华市,3522094,14758158,2761130,13191619,760964,1566540,-0.4,1.1,-10.9
金华经济技术开发区,37712,129655,25485,104183,12226,25472,21.3,8.3,138.0
台州市,1397591,4579723,1213784,4204677,183808,375046,12.6,12.2,17.0
台州湾经济技术开发区,27352,32538,23809,25368,3543,7170,30635.8,-,6673.0
安徽省,5945641,14153074,3998228,9610136,1947413,4542938,14.8,18.0,8.5
合肥市,2650488,6401121,1848026,4476771,802462,1924350,24.6,28.6,16.2
