Unnamed: 0,收发货人所在地,当期进出口,当期进口,当期出口,进出口同比,进口同比,出口同比
,合计,3489716489740.0,897794402682.0,2591922087058.0,7.4,4.8,8.4
,杭州地区,555743805332.0,174361269749.0,381382535583.00006,5.8,0.8,8.2
,湖州地区,114086878228.0,8870867638.0,105216010590.0,5.3,-0.3,5.9
,嘉兴地区,316592473573.0,76326715885.0,240265757688.00003,10.4,18.0,8.1
,金华地区,582307908090.0,66624510702.0,515683397387.99994,13.2,-4.5,16.0
,丽水地区,25926951004.0,2974795243.0,22952155761.0,14.6,-29.5,24.8
,宁波地区,934488018349.9999,316291332473.0,618196685877.0,10.9,9.7,11.5
,衢州地区,50109299134.0,15803454025.0,34305845109.0,8.9,-8.1,19.0
,绍兴地区,289892781789.0,24473293838.999996,265419487950.00003,2.4,-9.7,3.6
,台州地区,177162767298.0,15550385790.0,161612381508.0,-8.3,-0.2,-9.0
,温州地区,194321241811.0,29936362218.0,164384879593.0,-1.9,-10.7,-0.1
,舟山地区,249084365130.99997,166581415120.0,82502950011.0,9.6,8.0,13.0
, 单位：人民币，万元，%,,,,,,
