Unnamed: 0,收发货人所在地,当期进出口,当期进口,当期出口,进出口同比,进口同比,出口同比
,合计,1293223408956.0,322469669188.0,970753739768.0,7.3,-2.8,11.1
,杭州地区,210340660524.99997,63290514877.00001,147050145648.0,10.8,-4.0,18.7
,湖州地区,51012816879.0,2683557510.0,48329259369.0,10.0,-6.5,11.1
,嘉兴地区,117501538402.0,28424249707.999996,89077288694.0,3.3,-3.5,5.6
,金华地区,216922797252.0,24728864119.0,192193933133.0,12.4,-0.2,14.3
,丽水地区,10689979240.000002,1606792324.0,9083186916.0,19.7,38.8,16.8
,宁波地区,348851732312.99994,111049144433.0,237802587880.0,8.4,-6.3,17.0
,衢州地区,18475088380.0,6650748025.0,11824340355.0,16.2,49.6,3.3
,绍兴地区,88373548990.0,7220996873.0,81152552117.0,-16.4,-27.1,-15.3
,台州地区,72363915145.0,5979566687.0,66384348458.0,17.3,10.6,18.0
,温州地区,68221738685.0,9503668705.0,58718069980.0,6.9,-23.4,14.3
,舟山地区,90469593145.0,61331565927.0,29138027218.0,6.3,7.6,3.7
, 单位：人民币，万元，%,,,,,,
