Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,单位：万人民币,单位：万人民币,单位：万人民币
收发货人所在地,进出口,进出口,出口,出口,进口,进口,累计比去年同期±％,累计比去年同期±％.1,累计比去年同期±％.2
收发货人所在地,1月,1至1月,1月,1至1月,1月,1至1月,进出口,出口,进口
总值,376356483,376356483,218622834,218622834,157733650,157733650,13.0,10.1,17.3
北京市,30863996,30863996,4921932,4921932,25942064,25942064,9.7,-12.2,15.1
中关村国家自主创新示范区,405634,405634,174345,174345,231289,231289,-9.2,-6.5,-11.1
北京经济技术开发区,1396319,1396319,420676,420676,975643,975643,10.6,22.8,6.0
天津市,6627770,6627770,3348000,3348000,3279770,3279770,6.2,17.5,-3.2
天津滨海新区,4419036,4419036,1906542,1906542,2512495,2512495,4.8,25.9,-7.0
天津经济技术开发区,1736376,1736376,806418,806418,929957,929957,-0.9,2.4,-3.5
天津滨海高新技术产业开发区,242598,242598,211577,211577,31021,31021,23.9,126.6,-69.7
河北省,5641321,5641321,3197820,3197820,2443501,2443501,19.4,18.1,21.1
石家庄市,1102424,1102424,643120,643120,459304,459304,18.8,7.0,40.4
石家庄高新技术产业开发区,662,662,462,462,199,199,-6.0,-24.4,115.2
唐山市,1778044,1778044,518336,518336,1259708,1259708,24.1,65.6,12.6
曹妃甸经济技术开发区,171582,171582,114208,114208,57374,57374,4653.2,3063.8,-
秦皇岛市,296777,296777,245243,245243,51533,51533,-6.5,12.2,-47.9
秦皇岛经济技术开发区,205974,205974,173289,173289,32684,32684,-4.1,13.1,-46.9
保定市,589903,589903,560024,560024,29879,29879,-2.8,-2.5,-8.7
保定高新技术产业开发区,1853,1853,1756,1756,97,97,21.5,29.0,-41.0
廊坊市,404789,404789,195443,195443,209346,209346,10.7,1.5,21.0
廊坊经济技术开发区,53311,53311,2495,2495,50816,50816,398.9,-74.3,4999.9
雄安新区,27395,27395,21896,21896,5499,5499,30.0,27.8,39.5
山西省,1724764,1724764,997258,997258,727506,727506,42.6,18.9,95.9
太原市,1304666,1304666,792844,792844,511821,511821,39.2,22.9,75.2
太原经济技术开发区,817373,817373,621966,621966,195407,195407,32.3,24.0,67.9
太原高新技术产业开发区,19050,19050,7771,7771,11279,11279,13.2,0.9,23.7
大同市,37777,37777,34277,34277,3500,3500,-2.1,3.3,-35.2
大同经济技术开发区,26254,26254,25692,25692,562,562,-13.1,-3.7,-84.1
晋中市,28349,28349,26571,26571,1779,1779,28.7,34.3,-20.3
晋中经济技术开发区,3267,3267,3265,3265,2,2,200.9,200.7,-
长治市,7657,7657,7059,7059,598,598,-54.1,-34.7,-89.8
长治高新技术产业开发区,638,638,349,349,289,289,-87.0,-92.9,-
内蒙古自治区,1708144,1708144,691912,691912,1016232,1016232,15.9,16.3,15.6
呼和浩特市,175417,175417,101705,101705,73712,73712,4.0,38.6,-22.7
包头市,236133,236133,118343,118343,117789,117789,21.6,37.5,8.9
包头高新技术产业开发区,556,556,337,337,219,219,-34.0,-60.0,-
二连浩特市,78302,78302,23640,23640,54662,54662,-28.3,63.5,-42.3
满洲里市,168349,168349,97130,97130,71218,71218,-31.3,-36.7,-22.4
辽宁省,6252693,6252693,3187412,3187412,3065282,3065282,-11.6,-2.1,-19.7
沈阳市,1152851,1152851,496043,496043,656808,656808,10.7,33.4,-2.0
沈阳经济技术开发区,199165,199165,103568,103568,95597,95597,32.2,-3.2,118.5
沈阳高新技术产业开发区,67863,67863,40692,40692,27171,27171,-6.1,3.7,-17.8
大连市,3589812,3589812,1808636,1808636,1781176,1781176,-22.9,-13.3,-30.6
大连经济技术开发区,1213337,1213337,658222,658222,555115,555115,-7.9,11.9,-23.9
大连市高新技术产业园区,54195,54195,43024,43024,11171,11171,4.8,-3.4,55.3
鞍山市,306240,306240,155743,155743,150497,150497,5.3,9.5,1.3
鞍山高新技术产业开发区,11907,11907,11814,11814,93,93,390.7,403.6,15.3
丹东市,147152,147152,131332,131332,15820,15820,-4.3,-3.3,-12.1
营口市,371985,371985,212167,212167,159817,159817,-21.6,-2.1,-38.1
营口经济技术开发区,1638,1638,1317,1317,321,321,-12.4,27.5,-61.7
吉林省,1602552,1602552,521108,521108,1081444,1081444,43.5,15.5,62.5
长春市,1300765,1300765,344859,344859,955906,955906,78.7,74.4,80.3
长春经济技术开发区,86772,86772,47293,47293,39479,39479,-22.6,25.1,-46.8
长春高新技术产业开发区,74913,74913,41064,41064,33849,33849,26.6,39.2,14.1
吉林市,48178,48178,33935,33935,14243,14243,-10.3,-1.3,-26.3
吉林高新技术产业开发区,4023,4023,3089,3089,934,934,-18.2,-29.0,65.4
珲春市,132000,132000,40845,40845,91154,91154,-6.0,-7.4,-5.4
黑龙江省,2487439,2487439,559267,559267,1928172,1928172,6.4,19.7,3.1
哈尔滨市,392681,392681,154142,154142,238539,238539,1.4,59.2,-17.9
哈尔滨经济技术开发区,112317,112317,24265,24265,88052,88052,-5.1,62.9,-14.9
哈尔滨高新技术产业开发区,57281,57281,31070,31070,26211,26211,-32.8,18.7,-55.6
大庆市,1459999,1459999,61854,61854,1398144,1398144,17.5,8.8,17.9
大庆高新技术产业开发区,43448,43448,19410,19410,24038,24038,-16.3,-47.4,60.1
黑河市,40214,40214,24690,24690,15524,15524,-14.4,-1.6,-29.0
绥芬河市,230755,230755,112088,112088,118667,118667,54.6,98.5,27.9
绥化市,46178,46178,42113,42113,4065,4065,-17.8,26.0,-82.1
绥化经济技术开发区,5902,5902,5902,5902,-,-,-35.3,-35.3,-
上海市,38821399,38821399,14941937,14941937,23879462,23879462,9.1,1.8,14.2
上海漕河泾浦江高科技园区,561998,561998,231570,231570,330427,330427,12.5,15.9,10.3
上海经济技术开发区,66,66,66,66,0,0,-54.3,-54.5,-
上海闵行经济技术开发区,77527,77527,44927,44927,32600,32600,16.4,8.6,29.1
上海浦东新区,24360037,24360037,8179452,8179452,16180585,16180585,11.5,0.2,18.3
江苏省,47647415,47647415,30691684,30691684,16955731,16955731,17.6,13.9,25.0
南京市,5290290,5290290,3495408,3495408,1794882,1794882,8.7,19.6,-7.7
南京高新技术外向型开发区,102270,102270,88387,88387,13883,13883,27.3,21.2,87.8
无锡市,6308843,6308843,4141004,4141004,2167840,2167840,17.7,10.9,33.1
无锡高新技术产业开发区,3012147,3012147,1829173,1829173,1182974,1182974,14.9,7.0,29.9
常州市,2785971,2785971,2198956,2198956,587014,587014,2.1,-0.6,14.1
常州高新技术产业开发区,47858,47858,38033,38033,9825,9825,-20.5,-18.4,-27.7
苏州市,21674843,21674843,13244810,13244810,8430032,8430032,17.7,13.0,25.8
苏州工业园,5406461,5406461,2730833,2730833,2675628,2675628,43.3,36.6,50.8
苏州高新技术产业开发区,1827063,1827063,1236083,1236083,590980,590980,8.6,-1.0,35.9
南通市,3061256,3061256,1965450,1965450,1095806,1095806,4.8,2.9,8.5
南通经济技术开发区,535566,535566,332669,332669,202897,202897,14.0,22.7,2.2
连云港市,1332154,1332154,278240,278240,1053914,1053914,71.2,1.8,108.8
连云港经济技术开发区,192849,192849,83651,83651,109199,109199,-13.1,1.5,-21.8
浙江省,48711240,48711240,36671963,36671963,12039276,12039276,13.7,10.5,24.6
杭州市,7102012,7102012,4816723,4816723,2285289,2285289,14.5,10.5,23.7
杭州经济技术开发区,609202,609202,431139,431139,178063,178063,11.5,27.2,-14.3
杭州高新技术产业开发区,232868,232868,152202,152202,80666,80666,78.2,45.9,205.5
宁波市,12504912,12504912,8373037,8373037,4131874,4131874,12.9,7.7,25.4
宁波经济技术开发区,1417707,1417707,642126,642126,775581,775581,1.0,-8.8,10.9
宁波高新技术产业开发区,324531,324531,251858,251858,72674,72674,27.1,28.0,23.9
宁波杭州湾经济技术开发区,201459,201459,182203,182203,19257,19257,112.1,104.4,230.0
温州市,2862197,2862197,2385390,2385390,476807,476807,6.3,0.0,55.2
温州经济技术开发区,163399,163399,162009,162009,1390,1390,2.8,2.4,96.8
湖州市,1718847,1718847,1625083,1625083,93765,93765,26.0,27.6,3.6
湖州经济技术开发区,16105,16105,5004,5004,11101,11101,310.5,154.2,467.9
湖州莫干山高新技术产业开发区,33129,33129,24472,24472,8657,8657,143.4,102.1,474.3
金华市,9676520,9676520,8563161,8563161,1113359,1113359,22.3,19.5,49.7
金华经济技术开发区,62823,62823,57475,57475,5348,5348,22.3,16.0,193.6
台州市,2537508,2537508,2342152,2342152,195356,195356,-8.8,-9.6,1.0
台州湾经济技术开发区,106,106,-,-,106,106,-,-,-
安徽省,6651464,6651464,4522921,4522921,2128544,2128544,14.5,17.9,7.9
合肥市,2891874,2891874,1937375,1937375,954499,954499,19.9,15.4,30.3
合肥经济技术开发区,1139430,1139430,658277,658277,481153,481153,45.0,31.8,68.1
合肥高新技术产业开发区,598550,598550,491057,491057,107493,107493,17.6,12.2,51.6
芜湖市,1137381,1137381,906131,906131,231250,231250,33.6,34.6,29.7
芜湖经济技术开发区,719249,719249,638370,638370,80879,80879,30.4,33.4,10.7
芜湖高新技术产业开发区,24196,24196,16735,16735,7461,7461,53.0,17.4,378.9
蚌埠市,168821,168821,106335,106335,62486,62486,17.3,12.9,25.8
蚌埠高新技术产业开发区,26833,26833,15531,15531,11302,11302,-18.1,-45.1,154.3
淮南市,75283,75283,74114,74114,1169,1169,76.4,83.2,-47.2
淮南经济技术开发区,9118,9118,8974,8974,144,144,-34.2,-33.2,-65.5
淮南高新技术产业开发区,-,-,-,-,-,-,-,-,-
马鞍山市,328945,328945,189884,189884,139061,139061,8.0,6.6,10.0
马鞍山经济技术开发区,39898,39898,39422,39422,476,476,33.4,58.9,-90.7
马鞍山慈湖高新技术产业开发区,33182,33182,30379,30379,2803,2803,12.7,14.4,-2.7
铜陵市,580506,580506,59145,59145,521361,521361,-18.9,28.5,-22.2
铜陵经济技术开发区,38580,38580,26919,26919,11660,11660,78.1,61.6,133.3
安庆市,350122,350122,299358,299358,50764,50764,46.4,66.8,-14.8
安庆经济技术开发区,251643,251643,214683,214683,36961,36961,65.9,101.8,-18.4
桐城经济技术开发区,706,706,643,643,62,62,154.3,266.6,-39.1
滁州市,340669,340669,307764,307764,32904,32904,-6.6,-2.7,-31.9
滁州经济技术开发区,115626,115626,101238,101238,14388,14388,-18.1,-12.7,-42.8
六安市,65041,65041,59080,59080,5961,5961,-2.2,3.1,-35.3
六安经济技术开发区,11137,11137,10808,10808,329,329,5.9,18.0,-75.9
宣城市,214839,214839,197205,197205,17634,17634,24.2,21.5,66.1
