Unnamed: 0,收发货人所在地,当期进出口,当期进口,当期出口,进出口同比,进口同比,出口同比
,合计,487112396198.0,120392761949.0,366719634249.0,13.68,24.57,10.51
,杭州地区,71020120680.0,22852894269.0,48167226411.0,14.46,23.71,10.54
,湖州地区,17188473438.0,937646802.0,16250826636.0,26.029999999999998,3.62,27.62
,嘉兴地区,40068856561.0,10866774556.0,29202082005.0,12.839999999999998,27.810000000000002,8.12
,金华地区,96765197385.0,11133589842.0,85631607543.0,22.32,49.71,19.48
,丽水地区,3748039283.0,420972949.0,3327066334.0,14.39,-47.67,34.589999999999996
,宁波地区,125049116202.0,41318742377.0,83730373825.0,12.93,25.36,7.66
,衢州地区,5344522226.0,1479480083.0,3865042143.0,-2.71,-34.089999999999996,18.96
,绍兴地区,41330206202.0,3369023308.0,37961182894.0,15.78,42.6,13.88
,台州地区,25375077128.0,1953557269.0,23421519859.0,-8.82,1.0,-9.55
,温州地区,28621974564.0,4768071458.0,23853903106.0,6.25,55.17999999999999,-0.05
,舟山地区,32600812529.0,21292009036.0,11308803493.0,15.53,18.6,10.15
, 单位：人民币，元，%,,,,,,
