Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,单位：万人民币,单位：万人民币,单位：万人民币
收发货人所在地,进出口,进出口,出口,出口,进口,进口,累计比去年同期±％,累计比去年同期±％.1,累计比去年同期±％.2
收发货人所在地,11月,1至11月,11月,1至11月,11月,1至11月,进出口,出口,进口
总值,375063353,3978606473,222171762,2303831624,152891591,1674774850,4.9,6.7,2.4
北京市,31486392,329888886,5094282,55490261,26392110,274398625,-0.6,0.9,-1.0
中关村国家自主创新示范区,453708,5003934,194353,1970133,259355,3033802,-3.5,-5.8,-2.0
北京经济技术开发区,1951148,16789782,470812,5023653,1480336,11766128,9.6,12.4,8.4
天津市,6448108,73913985,3313475,35589044,3134633,38324941,1.2,7.0,-3.7
天津滨海新区,4388509,51296035,1903038,20368577,2485471,30927458,-0.3,4.1,-3.0
天津经济技术开发区,1771277,20362413,833149,9504542,938128,10857871,1.3,2.9,0.0
天津滨海高新技术产业开发区,150964,1673495,131127,1341744,19837,331751,-12.2,1.6,-43.3
河北省,4863956,56019173,3029911,34027887,1834045,21991286,8.1,8.0,8.1
石家庄市,1123865,11752592,733484,7181737,390381,4570856,7.8,7.3,8.7
石家庄高新技术产业开发区,1274,10260,812,7671,463,2589,11.2,13.0,6.2
唐山市,1183640,13419755,404735,4349771,778905,9069984,-7.2,-15.8,-2.5
曹妃甸经济技术开发区,44838,748306,11292,264184,33546,484123,6.6,-53.0,245.5
秦皇岛市,317997,3780812,221526,2551354,96471,1229458,-2.4,2.3,-11.0
秦皇岛经济技术开发区,225798,2836372,154732,1847380,71067,988991,1.7,5.3,-4.5
保定市,659255,7279759,615710,6907028,43546,372731,10.7,13.2,-21.5
保定高新技术产业开发区,1681,15500,1398,14630,283,870,13.0,10.9,64.6
廊坊市,428345,5113654,201864,2464716,226481,2648939,27.5,28.7,26.3
廊坊经济技术开发区,2971,297990,2307,27744,664,270246,278.1,-42.2,775.9
雄安新区,26814,332423,21030,272192,5783,60231,18.1,22.0,3.3
山西省,1401502,15957606,883198,9832321,518303,6125285,3.3,2.5,4.5
太原市,977257,11984137,660278,7782281,316979,4201855,-2.6,3.1,-11.6
太原经济技术开发区,637436,7764619,479943,5850412,157493,1914207,-5.6,-5.9,-4.4
太原高新技术产业开发区,59476,388778,37397,177696,22079,211082,39.1,94.8,12.1
大同市,52613,358385,48281,322003,4332,36382,-6.4,-6.2,-8.0
大同经济技术开发区,42561,248827,41656,246001,905,2826,-14.3,-8.2,-87.4
