Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,单位：万人民币,单位：万人民币,单位：万人民币
收发货人所在地,进出口,进出口,出口,出口,进口,进口,累计比去年同期±％,累计比去年同期±％.1,累计比去年同期±％.2
收发货人所在地,7月,1至7月,7月,1至7月,7月,1至7月,进出口,出口,进口
总值,367580159,2483351781,213885246,1425730334,153694913,1057621447,6.2,6.7,5.4
北京市,26848079,210218543,5102831,34944496,21745248,175274047,2.4,3.3,2.2
中关村国家自主创新示范区,520479,3079236,169536,1212639,350943,1866598,-6.9,-10.1,-4.8
北京经济技术开发区,1689572,10542201,507973,3196564,1181599,7345636,9.8,10.8,9.4
天津市,7026319,47049970,3128160,22130627,3898158,24919343,1.8,3.2,0.6
天津滨海新区,5007090,32925327,1722080,12800292,3285010,20125034,1.1,0.4,1.6
天津经济技术开发区,1854663,12964709,830332,6104081,1024331,6860628,1.7,3.7,0.1
天津滨海高新技术产业开发区,134035,1112395,110360,876754,23675,235641,-15.6,0.7,-47.3
河北省,5180625,36266311,3167232,21691935,2013393,14574376,14.7,12.5,18.1
石家庄市,1167788,7409964,677250,4327193,490538,3082771,8.4,2.0,18.7
石家庄高新技术产业开发区,964,5881,788,4621,176,1260,-0.4,5.3,-17.1
唐山市,1158199,8818569,421710,2688463,736489,6130106,3.6,-4.8,7.8
曹妃甸经济技术开发区,120089,463431,81884,218824,38205,244606,96.0,28.1,272.9
秦皇岛市,321281,2358601,233743,1612652,87538,745949,-3.2,2.2,-13.3
秦皇岛经济技术开发区,239107,1731477,169855,1149929,69252,581548,-0.8,2.6,-6.9
保定市,731664,4642629,685446,4421892,46218,220737,12.1,14.2,-17.4
保定高新技术产业开发区,1118,10294,1071,9961,47,333,17.9,18.7,-2.7
廊坊市,469118,3414375,180392,1635769,288727,1778605,34.1,39.7,29.3
廊坊经济技术开发区,26345,282599,2542,16498,23804,266100,470.6,-57.5,2379.3
雄安新区,50234,208280,42683,170812,7550,37468,23.7,26.8,11.4
山西省,1463530,10120107,822689,6104578,640841,4015528,14.7,12.5,18.2
太原市,1112537,7623934,635630,4840224,476907,2783710,11.0,17.2,1.7
太原经济技术开发区,726188,4870445,490883,3712566,235305,1157878,11.5,12.5,8.2
太原高新技术产业开发区,39987,194325,9291,64559,30696,129767,1.4,22.4,-6.5
大同市,30447,220744,27083,200970,3364,19775,-11.6,-10.4,-22.1
大同经济技术开发区,20190,151039,20190,149374,-,1666,-22.1,-17.0,-88.1
晋中市,40713,237416,27189,163358,13524,74058,39.5,2.5,584.1
晋中经济技术开发区,3860,22341,2024,17402,1836,4939,139.4,90.7,2270.2
长治市,11585,91447,10965,68527,620,22920,11.0,-8.7,215.7
长治高新技术产业开发区,2832,14835,2399,12385,433,2449,-45.8,-53.0,137.3
内蒙古自治区,1701522,11693055,678997,4492191,1022525,7200864,11.7,10.0,12.7
呼和浩特市,164161,1338037,109043,682892,55118,655145,29.9,26.4,33.7
包头市,314217,1980152,124999,890268,189218,1089884,17.2,23.2,12.8
包头高新技术产业开发区,20848,37742,16294,31664,4554,6077,477.7,496.1,397.6
二连浩特市,82585,543045,32785,199603,49800,343443,-19.7,13.5,-31.4
满洲里市,183546,1200225,114929,746523,68617,453702,-20.7,-22.5,-17.5
辽宁省,6516794,43543196,3093889,20660913,3422905,22882283,-2.4,-0.7,-4.0
沈阳市,1361117,8500041,472396,3080648,888721,5419393,3.1,0.3,4.8
沈阳经济技术开发区,935144,4919399,175800,1265074,759344,3654325,300.6,65.0,692.5
沈阳高新技术产业开发区,111420,576626,76556,359670,34863,216955,-12.7,-0.7,-27.4
