Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,单位：万人民币,单位：万人民币,单位：万人民币
收发货人所在地,进出口,进出口,出口,出口,进口,进口,累计比去年同期±％,累计比去年同期±％.1,累计比去年同期±％.2
收发货人所在地,6月,1至6月,6月,1至6月,6月,1至6月,进出口,出口,进口
总值,385359633,2178840677,233971307,1300038881,151388327,878801796,2.9,7.2,-2.7
北京市,26692034,153246038,5163395,30171377,21528639,123074660,-16.4,1.4,-19.9
中关村国家自主创新示范区,607999,3083342,196686,1015731,411313,2067610,20.5,-2.6,36.4
北京经济技术开发区,1668936,8878602,542477,3142470,1126459,5736132,0.3,16.9,-6.9
天津市,7261956,39697198,3839162,20719370,3422794,18977828,-1.2,9.0,-10.4
天津滨海新区,5114980,27095375,2357641,11832140,2757339,15263235,-3.5,6.8,-10.2
天津经济技术开发区,2067996,11470577,1091914,5953979,976082,5516598,3.4,13.0,-5.4
天津滨海高新技术产业开发区,118668,868640,97821,735922,20846,132718,-11.2,-4.0,-37.4
河北省,5318022,29029399,3350246,18127976,1967776,10901423,-6.1,-1.6,-12.7
石家庄市,1329045,6706325,939225,4394633,389820,2311692,8.1,20.4,-9.6
石家庄高新技术产业开发区,750,3679,750,3678,0,0,-25.2,-4.1,-100.0
唐山市,1137579,6383974,366531,1960386,771048,4423587,-16.3,-13.5,-17.4
曹妃甸经济技术开发区,40786,214045,10486,35979,30300,178066,-37.7,-73.7,-13.7
秦皇岛市,412916,2051289,264313,1471214,148603,580075,1.2,7.2,-11.2
秦皇岛经济技术开发区,328316,1590556,203935,1147447,124380,443109,6.6,17.1,-13.5
保定市,683035,4163196,653835,4000883,29200,162313,6.5,7.1,-7.1
保定高新技术产业开发区,1143,8427,910,7916,233,512,-8.2,-11.0,78.5
廊坊市,461051,2432490,227913,1221563,233138,1210927,-17.4,-16.0,-18.7
廊坊经济技术开发区,6576,38852,5960,25373,616,13479,-84.8,81.8,-94.4
雄安新区,141309,643126,17349,152516,123960,490610,306.9,19.0,1539.8
山西省,1017581,6850784,517567,3486634,500014,3364151,-20.8,-34.0,-0.1
太原市,675722,4531890,330115,2388949,345608,2142942,-30.3,-43.1,-6.8
太原经济技术开发区,293315,2326381,173934,1512315,119381,814066,-43.9,-53.1,-11.7
太原高新技术产业开发区,57068,375938,11321,73068,45748,302870,149.1,32.2,216.6
大同市,29433,178858,25660,149818,3773,29040,-6.0,-13.8,77.0
大同经济技术开发区,23461,130484,21441,114009,2020,16475,-0.3,-11.7,889.1
晋中市,42358,274155,28290,143607,14068,130548,39.4,5.5,115.8
晋中经济技术开发区,5507,25655,2877,13083,2630,12572,38.9,-14.9,307.3
长治市,12097,70990,12002,68422,95,2568,-11.1,18.9,-88.5
长治高新技术产业开发区,2125,13359,2034,11186,91,2173,11.3,12.0,7.8
内蒙古自治区,1693472,10124728,675547,3952575,1017925,6172154,0.4,3.6,-1.6
呼和浩特市,195096,1232864,117153,720052,77943,512812,4.8,25.1,-14.6
包头市,211308,1241881,106765,634630,104543,607251,-25.3,-17.0,-32.4
包头高新技术产业开发区,28616,142390,27049,98416,1567,43973,742.8,540.3,2786.0
二连浩特市,77591,435917,37907,177208,39684,258709,-5.3,6.2,-11.9
满洲里市,166785,979732,87615,476630,79171,503102,-3.9,-24.5,29.7
辽宁省,6529385,37021037,3781111,19925560,2748274,17095477,-0.1,13.4,-12.3
沈阳市,1024827,6009775,422179,2851169,602648,3158606,-15.8,9.3,-30.3
沈阳经济技术开发区,604709,3223844,125395,828896,479315,2394948,-19.1,-23.9,-17.3
沈阳高新技术产业开发区,82422,492803,51567,333300,30855,159503,6.1,18.1,-12.4
大连市,4294758,23501101,2536004,12281408,1758754,11219693,8.8,21.5,-2.4
大连经济技术开发区,1384606,7416703,726993,3991658,657612,3425045,5.0,-2.0,14.5
大连高新技术产业园区,68124,382067,60369,308703,7755,73364,13.8,14.8,9.5
鞍山市,246716,1353255,168484,834748,78232,518507,-11.5,-8.4,-16.0
鞍山高新技术产业开发区,6434,28825,4405,22925,2029,5900,19.8,10.2,81.7
丹东市,169105,979475,153298,833570,15808,145905,22.3,19.7,40.0
营口市,289486,1903755,185624,1172959,103862,730797,-21.2,3.5,-43.1
营口经济技术开发区,7971,69944,1526,13413,6445,56531,36.0,147.2,22.9
