Unnamed: 0,收发货人所在地,当期进出口,当期进口,当期出口,进出口同比,进口同比,出口同比
,合计,4808624477143.0,1236448641272.0,3572175835871.0005,6.9,1.2,9.0
,杭州地区,777826152371.0,237921134938.0,539905017433.0,6.0,-3.1,10.6
,湖州地区,151987683635.0,11719544694.999998,140268138940.0,2.2,-0.5,2.4
,嘉兴地区,439883880712.0,110345203948.0,329538676764.0,8.3,11.3,7.3
,金华地区,806335617460.0001,96452751666.0,709882865794.0,13.5,-2.4,16.1
,丽水地区,38031469268.0,4964567900.0,33066901368.0,13.1,-14.0,18.7
,宁波地区,1292198388143.0,431884592288.0,860313795855.0,10.1,5.6,12.5
,衢州地区,70419318513.0,22341922365.0,48077396148.0,8.6,-6.7,17.5
,绍兴地区,380833154523.0,33432599054.0,347400555468.99994,-1.0,-13.4,0.4
,台州地区,239648207283.0,21566531368.999996,218081675914.0,-5.6,2.9,-6.4
,温州地区,270588788450.0,39391343297.0,231197445152.99997,3.9,-13.3,7.5
,舟山地区,340871816784.99994,226428449752.0,114443367033.0,3.6,1.4,8.3
, 单位：人民币，万元，%,,,,,,
