Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,单位：万人民币,单位：万人民币,单位：万人民币
收发货人所在地,进出口,进出口,出口,出口,进口,进口,累计比去年同期±％,累计比去年同期±％.1,累计比去年同期±％.2
收发货人所在地,5月,1至5月,5月,1至5月,5月,1至5月,进出口,出口,进口
总值,380981114,1794485145,227668397,1066818788,153312716,727666357,2.5,7.2,-3.8
北京市,26928178,126670175,5095601,25084915,21832577,101585260,-18.6,2.8,-22.6
中关村国家自主创新示范区,561168,2475931,170105,819186,391063,1656744,18.0,-3.1,32.2
北京经济技术开发区,1388201,7209827,585351,2600155,802850,4609671,-1.4,18.1,-9.7
天津市,7184307,32439747,3946301,16881568,3238006,15558180,-0.7,7.5,-8.2
天津滨海新区,4797614,21985124,2167144,9475258,2630471,12509866,-2.7,3.2,-6.7
天津经济技术开发区,2190095,9403378,1150593,4862064,1039502,4541314,6.2,13.1,-0.4
天津滨海高新技术产业开发区,133072,749973,107316,638101,25756,111872,-10.2,-1.9,-39.3
河北省,5354387,23720784,3226794,14779258,2127593,8941526,-7.3,-2.6,-14.1
石家庄市,1167624,5379471,775865,3456601,391759,1922869,4.0,15.6,-11.9
石家庄高新技术产业开发区,812,2928,812,2928,0,0,-26.2,-2.0,-100.0
唐山市,1135464,5249077,332337,1593833,803126,3655244,-18.5,-14.7,-20.1
曹妃甸经济技术开发区,48486,173203,2903,25493,45583,147710,-42.4,-80.8,-12.2
秦皇岛市,391399,1638672,265493,1206901,125906,431771,0.0,6.0,-13.7
秦皇岛经济技术开发区,318034,1262240,205588,943512,112446,318728,5.7,16.1,-16.5
保定市,756848,3480507,729472,3347394,27376,133113,11.9,12.7,-6.5
保定高新技术产业开发区,1426,7284,1289,7006,137,279,-4.7,-4.8,-2.6
廊坊市,497401,1972286,223157,993611,274243,978674,-17.3,-20.9,-13.1
廊坊经济技术开发区,5152,32276,4547,19413,604,12863,-82.3,65.2,-92.5
雄安新区,354714,501646,20847,135167,333867,366479,315.0,40.7,1375.4
山西省,1121398,5827339,573913,2969358,547485,2857981,-21.1,-35.3,2.0
太原市,746883,3854475,384545,2059008,362338,1795467,-31.3,-44.5,-5.6
太原经济技术开发区,347945,2033448,205399,1338548,142546,694899,-45.3,-53.9,-14.9
太原高新技术产业开发区,56913,318928,17361,61753,39552,257175,153.4,43.4,210.6
大同市,25345,149425,20777,124158,4568,25267,-4.8,-14.1,102.3
大同经济技术开发区,15776,107024,15436,92568,339,14456,-0.6,-13.2,1292.2
晋中市,38529,232042,19139,115318,19390,116724,44.8,3.5,138.6
晋中经济技术开发区,5536,20149,1696,10206,3840,9942,43.0,-13.9,345.2
长治市,15995,59009,15892,56536,103,2473,-4.7,41.2,-88.7
长治高新技术产业开发区,2133,11234,2035,9151,97,2083,39.2,41.3,30.7
内蒙古自治区,1699848,8430380,703052,3277177,996797,5153204,0.2,6.1,-3.2
呼和浩特市,191774,1037741,120984,602871,70790,434870,2.9,28.7,-19.4
包头市,195175,1032192,119398,527865,75777,504327,-25.5,-13.4,-35.0
包头高新技术产业开发区,30950,113774,19805,71367,11145,42407,931.4,600.2,4957.4
二连浩特市,74068,358409,34584,139428,39484,218981,3.6,10.5,-0.4
满洲里市,158032,812915,78218,388974,79814,423940,-0.9,-20.9,29.0
辽宁省,6418024,30479613,3661728,16154525,2756297,14325088,-1.8,12.1,-13.9
沈阳市,1112445,4985075,438942,2429075,673503,2556000,-14.4,15.9,-31.5
沈阳经济技术开发区,675634,2619144,137742,703501,537892,1915643,-14.8,-15.2,-14.6
沈阳高新技术产业开发区,80543,410466,56116,281817,24426,128649,13.3,23.2,-3.7
大连市,3847851,19197811,2335088,9754027,1512763,9443784,5.0,17.2,-5.2
大连经济技术开发区,1424449,6034504,927072,3264964,497377,2769540,1.7,-3.1,8.0
大连高新技术产业园区,81436,313929,54382,248321,27055,65608,9.5,8.3,14.4
鞍山市,207672,1101806,129182,666264,78489,435542,-12.5,-11.5,-14.1
鞍山高新技术产业开发区,15794,22391,14922,18520,872,3871,5.4,-4.0,98.4
丹东市,184271,811782,166180,681681,18091,130102,22.5,18.9,46.1
营口市,399045,1614270,219149,987335,179896,626935,-22.6,5.6,-45.6
营口经济技术开发区,31691,61973,3564,11887,28127,50086,23.2,159.7,9.5
吉林省,1459074,6115415,590284,2477735,868790,3637679,-18.1,-4.1,-25.5
长春市,974526,4091490,246710,1161264,727816,2930226,-28.6,-26.0,-29.6
长春经济技术开发区,84228,457373,53841,258729,30387,198644,-7.8,26.8,-31.9
长春高新技术产业开发区,63426,282585,38620,163728,24806,118856,-16.1,-3.3,-29.0
吉林市,61592,338570,49951,240653,11641,97917,37.1,47.5,17.0
吉林高新技术产业开发区,3450,20789,3270,19476,180,1313,13.9,21.6,-41.4
珲春市,252891,928486,150436,461182,102455,467304,12.0,58.8,-13.3
延吉市,12179,51616,3201,21591,8979,30025,60.4,-2.6,200.1
黑龙江省,2470820,13275552,641023,3772799,1829798,9502753,1.6,9.9,-1.3
哈尔滨市,441297,2254135,172848,1243290,268449,1010845,11.2,27.1,-3.6
哈尔滨经济技术开发区,174696,682602,14046,341458,160650,341144,57.3,125.8,20.6
哈尔滨高新技术产业开发区,118037,557905,67993,305348,50044,252557,33.1,51.9,15.8
大庆市,1369833,6298057,25425,157231,1344407,6140826,-5.1,-54.4,-2.4
大庆高新技术产业开发区,1348460,2238957,4962,29260,1343498,2209697,771.6,-81.1,2057.7
黑河市,85138,1523185,78712,290222,6427,1232963,32.3,40.5,30.5
绥芬河市,213703,1135662,122489,635517,91214,500145,18.3,33.8,3.2
绥化市,53541,258408,33967,186039,19574,72369,9.4,0.8,40.2
绥化经济技术开发区,9078,33620,9078,33615,0,5,0.6,0.5,-
上海市,37715143,178197708,15838414,78738059,21876730,99459648,1.8,11.5,-4.8
