Unnamed: 0,收发货人所在地,当期进出口,当期进口,当期出口,进出口同比,进口同比,出口同比
,合计,3014651610684.0005,782010106007.9999,2232641504676.0,7.6,6.5,7.9
,杭州地区,479592274090.0,153519487004.0,326072787086.0,5.6,3.6,6.5
,湖州地区,100521102534.0,7820253114.0,92700849420.0,5.7,0.7,6.1
,嘉兴地区,273094007215.00003,64244617627.0,208849389588.0,10.1,17.4,8.0
,金华地区,497120905515.0,56771521803.0,440349383712.0,13.3,-7.1,16.7
,丽水地区,21969590283.0,2481846768.0,19487743515.0,15.6,-24.8,24.1
,宁波地区,806850026153.0,278840630617.0,528009395536.0,10.9,11.6,10.6
,衢州地区,44390356748.0,13831730193.0,30558626555.0,15.4,-2.8,26.1
,绍兴地区,257444673231.0,22241932694.0,235202740537.0,5.2,-3.7,6.1
,台州地区,154255358907.0,13703378731.0,140551980176.0,-10.1,-0.3,-10.9
,温州地区,165711703619.0,26744613115.0,138967090504.0,-4.6,-4.7,-4.6
,舟山地区,213701612388.99997,141810094342.0,71891518047.0,11.4,9.0,16.4
, 单位：人民币，万元，%,,,,,,
