Unnamed: 0,收发货人所在地,当期进出口,当期进口,当期出口,进出口同比,进口同比,出口同比
,合计,2732690245066.0,659266096082.0,2073424148984.0,6.6,-0.4,9.1
,杭州地区,436599520294.0,126774789542.0,309824730752.0,7.1,-4.2,12.5
,湖州地区,92137297721.0,5978572663.0,86158725058.0,6.4,-6.1,7.3
,嘉兴地区,244117644189.00003,57077046519.0,187040597670.0,5.0,3.9,5.3
,金华地区,508678623656.0,55312893790.99999,453365729865.0,20.1,16.1,20.6
,丽水地区,23426645641.0,3103091605.0,20323554036.0,26.9,43.4,24.7
,宁波地区,721796976916.0,231361355379.0,490435621537.0,6.1,-1.6,10.1
,衢州地区,40759310467.0,11553379696.0,29205930771.0,7.6,-1.4,11.6
,绍兴地区,185714171580.0,13293418845.0,172420752735.0,-17.8,-33.0,-16.3
,台州地区,147771197740.0,12325882438.0,135445315302.00002,12.2,7.3,12.7
,温州地区,149552939880.0,20811538063.0,128741401817.0,7.6,-7.6,10.6
,舟山地区,182135916982.0,121674127541.0,60461789441.0,1.7,3.6,-2.0
, 单位：人民币，万元，%,,,,,,
