Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,单位：万人民币,单位：万人民币,单位：万人民币
收发货人所在地,进出口,进出口,出口,出口,进口,进口,累计比去年同期±％,累计比去年同期±％.1,累计比去年同期±％.2
收发货人所在地,10月,1至10月,10月,1至10月,10月,1至10月,进出口,出口,进口
总值,370074754,3602187003,218992309,2080278717,151082445,1521908287,5.2,6.7,3.2
北京市,28884647,298466918,5028801,50516695,23855845,247950223,-0.2,1.9,-0.6
中关村国家自主创新示范区,413369,4550228,193287,1775781,220082,2774447,-4.5,-6.2,-3.4
北京经济技术开发区,1245772,14838656,427292,4552854,818480,10285802,9.3,11.6,8.3
天津市,6455475,67484984,3215522,32270555,3239953,35214429,1.9,6.8,-2.2
天津滨海新区,4438512,46940848,1773419,18472766,2665093,28468081,0.8,3.9,-1.1
天津经济技术开发区,1799444,18592956,801598,8672093,997846,9920863,2.0,3.1,1.1
天津滨海高新技术产业开发区,146637,1522517,122456,1210617,24181,311900,-13.2,1.2,-44.1
河北省,4933017,51169249,3164913,30999637,1768104,20169612,11.1,10.9,11.4
石家庄市,1042196,10632990,734582,6448340,307615,4184650,7.5,5.1,11.3
石家庄高新技术产业开发区,1066,8986,765,6859,300,2126,10.6,14.8,-1.0
唐山市,1192425,12250339,481123,3945145,711302,8305194,-2.3,-7.3,0.3
曹妃甸经济技术开发区,91171,703465,19880,252892,71291,450573,47.0,-25.3,221.6
秦皇岛市,342666,3463314,216732,2329855,125934,1133459,-0.5,2.4,-6.1
秦皇岛经济技术开发区,266941,2610562,162920,1692638,104021,917925,4.1,5.1,2.4
保定市,618247,6621302,587250,6292116,30997,329186,11.6,14.3,-22.9
保定高新技术产业开发区,1000,13819,888,13232,112,587,13.2,12.2,43.9
廊坊市,439659,4684425,227793,2262839,211866,2421586,30.0,34.5,26.0
廊坊经济技术开发区,3971,295019,2644,25437,1326,269582,295.3,-43.7,815.7
雄安新区,29778,305682,22263,251227,7514,54455,25.7,32.7,1.1
山西省,1476967,14553085,953141,8949116,523826,5603970,5.9,4.5,8.3
太原市,1135165,11005987,763409,7121991,371757,3883995,0.6,6.0,-7.9
太原经济技术开发区,665096,7127183,508468,5370469,156629,1756714,-1.9,-2.6,0.1
太原高新技术产业开发区,74811,329684,44282,140299,30529,189385,33.4,68.3,15.6
大同市,28662,305772,26366,273723,2296,32049,-11.0,-11.2,-9.3
大同经济技术开发区,21225,206266,20970,204345,255,1921,-21.8,-16.1,-90.5
晋中市,43816,362972,24410,244017,19406,118955,36.9,1.9,362.2
晋中经济技术开发区,5591,39878,3532,29552,2058,10327,146.2,84.9,4604.2
长治市,8445,132331,7596,97610,849,34721,18.9,-1.5,183.9
长治高新技术产业开发区,1489,24864,1308,16934,180,7931,-30.6,-43.5,34.9
内蒙古自治区,1719115,17112194,712297,6941910,1006818,10170284,12.0,16.1,9.4
呼和浩特市,174657,1847747,99275,985035,75382,862712,32.8,22.5,46.7
包头市,210725,2727640,103556,1258269,107169,1469371,13.5,23.5,6.1
包头高新技术产业开发区,11923,72872,9643,51792,2280,21080,644.2,590.6,819.6
二连浩特市,77142,804403,31949,321151,45193,483252,-13.1,15.8,-25.4
满洲里市,227223,2173829,148883,1486142,78340,687686,2.8,11.9,-12.6
辽宁省,6059116,63408507,3347403,30885780,2711713,32522727,-1.0,4.6,-5.8
沈阳市,1359589,12450691,658259,4819034,701330,7631657,3.0,9.2,-0.5
沈阳经济技术开发区,758092,7307805,174485,1833759,583608,5474046,315.4,70.1,703.5
沈阳高新技术产业开发区,96974,863584,65744,537572,31230,326012,-3.3,5.7,-15.1
大连市,3309028,36926268,1811438,17751526,1497590,19174743,-4.0,2.1,-9.0
大连经济技术开发区,1217174,12345371,631933,6841138,585241,5504234,-9.9,2.9,-21.9
大连市高新技术产业园区,68790,595448,58769,490317,10021,105131,10.0,6.1,32.6
鞍山市,258900,2574763,191830,1592455,67070,982309,-2.6,8.9,-16.8
鞍山高新技术产业开发区,3564,39135,3511,31639,53,7496,0.2,-8.1,61.9
丹东市,164545,1380072,124314,1162475,40230,217597,-0.8,-2.3,7.6
营口市,375935,3970144,206921,2011525,169014,1958619,0.9,2.6,-0.8
营口经济技术开发区,1088,29748,793,10308,295,19440,112.2,4.2,370.5
吉林省,1282549,14556745,636332,5528075,646217,9028671,7.8,11.2,5.7
长春市,798994,10680688,267656,2902505,531338,7778184,7.6,6.9,7.9
长春经济技术开发区,69881,935201,37986,400355,31895,534846,-9.1,5.3,-17.6
长春高新技术产业开发区,61534,647598,34344,335047,27190,312551,-3.4,4.6,-10.7
吉林市,44929,522265,35137,366857,9793,155407,-3.7,1.8,-14.6
吉林高新技术产业开发区,4667,37777,4405,34642,263,3135,-8.3,19.6,-74.3
珲春市,154497,1659908,68394,776344,86103,883564,3.0,14.6,-5.4
黑龙江省,2311154,25797900,729937,6850675,1581217,18947225,6.6,14.5,4.0
哈尔滨市,423011,4120204,304956,2201867,118054,1918337,2.9,28.8,-16.4
哈尔滨经济技术开发区,49695,870838,26962,288116,22733,582722,-19.4,69.0,-35.9
哈尔滨高新技术产业开发区,110152,841404,82878,449499,27275,391904,-6.1,4.4,-15.8
大庆市,820116,12619887,44231,582577,775885,12037310,11.6,6.4,11.9
大庆高新技术产业开发区,23268,369602,8480,198606,14788,170997,-17.8,-24.5,-8.4
黑河市,457881,2945734,59059,514161,398822,2431573,15.9,18.7,15.3
绥芬河市,185418,2058598,79480,1094132,105937,964466,17.4,38.5,0.1
绥化市,41174,456949,35212,355489,5961,101459,-13.6,21.7,-57.1
绥化经济技术开发区,4092,62112,4092,62109,-,3,-2.5,-2.5,1247.7
上海市,35531017,352294097,15506365,148351449,20024652,203942648,0.3,2.9,-1.6
