Unnamed: 0,收发货人所在地,当期进出口,当期进口,当期出口,进出口同比,进口同比,出口同比
,合计,2104945917608.0,559914226828.0,1545031690780.0,7.6471654938529285,8.381317990899825,7.383560421749571
,杭州地区,329452604091.0,111881979515.0,217570624576.0,5.984740185975912,8.46035023010327,4.755188864275221
,湖州地区,74444355914.0,5351355820.0,69093000094.0,12.70083973562985,2.5803683422573935,13.568649892010963
,嘉兴地区,189651801559.0,47064508313.0,142587293246.0,8.99165462650442,20.50724539044261,5.658985479594058
,金华地区,343615162274.0,39184159026.0,304431003248.0,14.126209115004269,-10.588408483998265,18.33638278839123
,丽水地区,14553970113.0,1853911225.0,12700058888.0,11.293230296841783,-18.32970734084437,17.51540216411314
,宁波地区,560948357127.0,199283651846.0,361664705281.0,9.213015219530071,11.111369400662758,8.194449003406397
,衢州地区,30427743331.0,9588052254.0,20839691077.0,12.582535684605894,-3.438198210854738,21.88658655352491
,绍兴地区,193196511168.0,17764394916.0,175432116252.0,13.949396493511587,36.88141373863301,12.048557362116536
,台州地区,106379222359.0,9565583538.0,96813638821.0,-13.492548512755153,-6.120426957157988,-14.158577623938859
,温州地区,113141579346.0,19598332509.0,93543246837.0,-6.3587598548509385,8.982155564883033,-9.041303469788689
,舟山地区,149134610326.0,98778297866.0,50356312460.0,9.379869742973474,6.603799566107204,15.267953192766937
, 单位：人民币，元，%,,,,,,
