Unnamed: 0,收发货人所在地,当期进出口,当期进口,当期出口,进出口同比,进口同比,出口同比
,合计,5264125729009.0,1358379224300.0,3905746504709.0,7.4,1.9,9.5
,杭州地区,854939567979.0001,259985577702.0,594953990277.0,6.4,-3.5,11.5
,湖州地区,166401282857.0,13339220889.0,153062061968.0,2.8,3.8,2.7
,嘉兴地区,481839786570.0,122484129365.0,359355657205.0,9.3,14.2,7.7
,金华地区,879490433769.0,107571973103.0,771918460666.0,14.3,0.9,16.4
,丽水地区,42377313591.0,5642599534.0,36734714057.0,12.4,-12.1,17.4
,宁波地区,1420251587693.0002,474719346529.0,945532241164.0,11.1,5.6,14.1
,衢州地区,78564582433.0,24659731770.0,53904850663.0,10.1,-5.0,18.7
,绍兴地区,413708937853.0,37485193681.0,376223744172.0,-2.0,-9.3,-1.2
,台州地区,262579514836.00003,23999931163.0,238579583673.0,-4.3,4.4,-5.1
,温州地区,293657793250.0,41681074147.0,251976719103.0,4.1,-13.6,7.7
,舟山地区,370314928178.0,246810446417.0,123504481761.0,3.5,1.7,7.4
, 单位：人民币，万元，%,,,,,,
