Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,单位：万人民币,单位：万人民币,单位：万人民币
收发货人所在地,进出口,进出口,出口,出口,进口,进口,累计比去年同期±％,累计比去年同期±％.1,累计比去年同期±％.2
收发货人所在地,4月,1至4月,4月,1至4月,4月,1至4月,进出口,出口,进口
总值,363894555,1380532049,207619879,781132017,156274676,599400031,5.7,4.9,6.8
北京市,31804178,122751929,4667960,19215573,27136217,103536356,4.3,-2.7,5.7
中关村国家自主创新示范区,459649,1687293,183665,691461,275984,995833,-11.9,-10.0,-13.2
北京经济技术开发区,1613435,5861847,508201,1759592,1105234,4102255,9.4,12.0,8.3
天津市,6771594,26055836,3263950,12613364,3507645,13442472,3.3,11.8,-3.5
天津滨海新区,4622550,17908236,1879558,7369918,2742992,10538318,1.9,14.5,-5.3
天津经济技术开发区,1819167,7047469,904933,3411728,914233,3635741,-3.6,0.7,-7.4
天津滨海高新技术产业开发区,160221,695548,124989,543355,35232,152193,-4.1,21.8,-45.4
河北省,5218597,20382453,3380662,12163292,1837935,8219161,13.3,12.6,14.3
石家庄市,1021574,4107668,584435,2353854,437139,1753814,6.1,-0.2,16.0
石家庄高新技术产业开发区,716,3006,527,2246,190,760,-17.4,-18.6,-13.6
唐山市,1167315,5382752,337662,1553171,829653,3829581,3.7,-2.7,6.5
曹妃甸经济技术开发区,41180,258191,3879,128047,37301,130144,2724.2,1310.7,200260.7
秦皇岛市,297311,1258135,220416,925655,76894,332481,-7.8,2.0,-27.1
秦皇岛经济技术开发区,211454,890483,161272,656503,50182,233980,-7.4,3.9,-28.9
保定市,689271,2374509,655177,2263676,34094,110833,2.7,3.6,-11.9
保定高新技术产业开发区,1156,6122,1150,5838,6,285,16.1,16.8,3.0
廊坊市,644522,1802033,426751,1036931,217771,765102,30.2,56.2,6.3
廊坊经济技术开发区,30882,176367,2723,8750,28159,167617,533.1,-63.7,4355.8
雄安新区,26914,91108,22018,72154,4896,18954,21.2,21.1,21.4
山西省,1549495,6136082,980360,3841448,569136,2294634,29.6,32.6,24.8
太原市,1159145,4701395,797788,3122331,361357,1579065,30.8,43.6,11.2
太原经济技术开发区,817974,3167475,632591,2463640,185383,703835,46.3,48.8,38.3
太原高新技术产业开发区,45277,100890,9268,35622,36009,65268,1.3,14.2,-4.7
大同市,41780,145033,37660,134382,4120,10651,9.1,14.3,-30.4
大同经济技术开发区,31905,103484,31869,102915,36,569,2.1,9.6,-92.4
晋中市,46548,129305,23782,90872,22766,38433,50.0,12.7,590.7
晋中经济技术开发区,2199,11715,2192,9636,7,2079,152.0,116.7,934.0
长治市,7601,41296,7431,27262,170,14033,-20.3,-39.3,103.9
长治高新技术产业开发区,683,3597,578,2473,105,1124,-81.4,-86.7,48.8
内蒙古自治区,1885204,6603051,679982,2425347,1205222,4177704,8.8,5.1,11.1
呼和浩特市,259317,730121,96281,360779,163036,369342,17.0,22.8,11.7
包头市,308665,1131105,146341,498855,162324,632250,18.9,27.2,13.1
包头高新技术产业开发区,7909,9823,7719,9135,189,687,111.9,135.5,-9.0
二连浩特市,78320,267972,33385,90334,44935,177638,-34.6,5.8,-45.2
满洲里市,205175,622573,142756,360915,62419,261658,-32.5,-38.0,-23.0
辽宁省,6878945,24961547,3017723,11659179,3861223,13302368,0.6,1.8,-0.4
沈阳市,1227821,4704446,419496,1720529,808325,2983917,9.7,9.4,9.9
沈阳经济技术开发区,860063,2293509,194061,678425,666002,1615084,247.2,57.6,602.5
沈阳高新技术产业开发区,77341,292626,47172,184515,30169,108111,-20.5,-6.2,-36.9
大连市,4048734,14665810,1831787,6737429,2216948,7928381,-2.4,0.1,-4.4
大连经济技术开发区,1302709,4810649,704365,2715383,598344,2095266,-13.9,2.2,-28.4
大连市高新技术产业园区,54975,233099,42550,184920,12425,48179,24.8,16.3,74.1
鞍山市,216963,1023101,139002,609241,77960,413860,-11.3,3.5,-26.7
鞍山高新技术产业开发区,1704,18976,727,17444,976,1533,102.0,116.2,15.5
丹东市,136019,527008,119715,455815,16304,71193,-6.8,-5.8,-12.9
营口市,644509,1737231,179974,767437,464534,969794,8.0,-5.6,21.8
营口经济技术开发区,1767,5795,925,3611,842,2184,28.8,25.6,34.6
吉林省,1578282,5819944,605601,1986207,972680,3833737,22.2,10.6,29.3
长春市,1200516,4478418,391551,1199839,808965,3278579,33.3,29.1,35.0
长春经济技术开发区,104478,381546,37689,169829,66789,211717,-3.9,18.3,-16.4
长春高新技术产业开发区,64832,274306,32493,140316,32339,133990,14.6,23.6,6.5
吉林市,58440,194471,32848,126888,25592,67583,-9.3,-9.9,-8.2
吉林高新技术产业开发区,4597,15064,4400,12926,197,2138,-14.7,0.6,-55.6
珲春市,176534,599034,59962,197429,116572,401605,2.9,-15.1,14.8
黑龙江省,2541048,10512334,711721,2899837,1829327,7612496,10.5,42.2,1.9
哈尔滨市,350677,1679637,186751,843067,163926,836570,11.4,79.6,-19.4
哈尔滨经济技术开发区,72128,370925,45335,139661,26793,231264,-16.8,181.2,-41.6
哈尔滨高新技术产业开发区,57741,357069,23600,184408,34140,172661,5.4,82.9,-27.4
大庆市,1021050,5077807,77016,284157,944034,4793650,7.8,28.2,6.8
大庆高新技术产业开发区,63697,222770,43530,131889,20167,90880,12.3,12.1,12.4
黑河市,424252,1096164,41527,164006,382725,932158,64.2,13.7,78.1
绥芬河市,179892,762825,89259,354276,90633,408549,27.0,59.2,8.1
绥化市,50838,187433,37893,147173,12945,40259,-13.7,21.8,-58.2
绥化经济技术开发区,7238,26498,7238,26498,-,-,-16.0,-16.0,-
上海市,35725269,138904819,14245760,55307434,21479509,83597385,0.1,-0.4,0.4
上海漕河泾浦江高科技园区,577595,2046706,280117,926407,297478,1120299,9.9,22.1,1.5
上海经济技术开发区,21,162,21,162,-,0,-39.9,-39.4,-82.7
上海闵行经济技术开发区,81601,304008,40621,175330,40981,128678,-1.1,-4.3,3.7
上海浦东新区,22232295,86412646,7973083,30667685,14259212,55744961,1.6,-2.8,4.2
江苏省,45877306,175550840,29136577,112020371,16740728,63530469,9.3,6.6,14.3
南京市,4615683,17997526,2793603,11080633,1822079,6916893,-5.2,2.5,-15.4
南京高新技术外向型开发区,60137,317988,49408,267631,10729,50357,6.2,3.9,20.8
无锡市,5956943,23281013,3736921,15145759,2220022,8135254,8.2,5.6,13.6
无锡高新技术产业开发区,2911883,11720197,1634302,7030627,1277581,4689570,5.8,2.5,11.3
常州市,2696028,10126316,2094799,7942851,601229,2183465,-2.0,-1.8,-2.8
常州高新技术产业开发区,40368,163503,29667,123599,10701,39904,-14.9,-12.6,-21.3
苏州市,21012148,80337245,12925103,49260124,8087045,31077120,10.1,8.3,13.1
苏州工业园,5563219,21611389,2710899,10783758,2852320,10827632,24.4,22.2,26.7
苏州高新技术产业开发区,2048550,7509895,1267502,4904113,781048,2605782,-0.6,-7.7,16.2
南通市,3126943,11556008,1954528,7313811,1172415,4242198,3.9,-0.9,13.3
南通经济技术开发区,608378,2232378,365971,1382941,242407,849437,23.8,25.3,21.4
连云港市,1514588,5483462,349986,1204439,1164602,4279024,91.9,12.5,139.5
