Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,单位：万人民币,单位：万人民币,单位：万人民币
收发货人所在地,进出口,进出口,出口,出口,进口,进口,累计比去年同期±％,累计比去年同期±％.1,累计比去年同期±％.2
收发货人所在地,2月,1至2月,2月,1至2月,2月,1至2月,进出口,出口,进口
总值,285022192,661378675,156609573,375232407,128412619,286146269,8.7,10.3,6.7
北京市,27080358,57944354,4110126,9032058,22970233,48912296,2.0,-15.5,6.1
中关村国家自主创新示范区,274408,680042,126848,301192,147560,378849,-26.5,-15.9,-33.1
北京经济技术开发区,1158368,2554687,360599,781275,797770,1773413,1.0,11.6,-3.1
天津市,5435018,12062788,2567372,5915372,2867646,6147416,2.0,13.7,-7.1
天津滨海新区,3789217,8208253,1502049,3408591,2287167,4799662,-1.1,14.1,-9.7
天津经济技术开发区,1603463,3339839,750405,1556823,853059,1783016,-6.6,-5.7,-7.3
天津滨海高新技术产业开发区,124845,367443,84597,296174,40249,71270,4.2,69.1,-59.8
河北省,4058388,9699709,2221190,5419010,1837198,4280699,14.7,20.7,7.9
石家庄市,936548,2038972,494282,1137402,442265,901570,20.9,12.4,33.7
石家庄高新技术产业开发区,540,1202,462,924,78,277,-31.1,-30.2,-33.8
唐山市,1069477,2847520,230418,748753,839059,2098767,10.2,43.1,1.9
曹妃甸经济技术开发区,4183,175765,4183,118391,-,57374,2775.9,1857.9,88228.9
秦皇岛市,298362,595139,211413,456656,86949,138483,-7.8,7.6,-37.4
秦皇岛经济技术开发区,209927,415901,147290,320580,62637,95321,-7.4,10.0,-39.5
保定市,385620,975523,362422,922446,23199,53077,1.0,1.5,-6.6
保定高新技术产业开发区,1350,3203,1283,3039,67,164,21.2,22.6,0.0
廊坊市,240862,645651,128039,323482,112824,322169,-19.5,7.7,-35.7
廊坊经济技术开发区,6117,59427,959,3454,5158,55974,300.5,-74.1,3625.8
雄安新区,16960,44355,12818,34714,4142,9641,38.0,43.5,21.3
山西省,1296052,3020817,842618,1839876,453434,1180941,26.8,24.4,30.8
太原市,1038294,2342960,705082,1497926,333212,845033,30.8,32.6,27.8
太原经济技术开发区,684918,1502291,561138,1183104,123780,319187,33.5,34.4,30.3
太原高新技术产业开发区,13447,32496,6231,14002,7216,18494,-14.2,0.0,-22.6
大同市,30332,68109,28804,63081,1528,5027,5.8,9.8,-27.3
大同经济技术开发区,21679,47933,21678,47371,0,562,-7.5,-0.6,-86.5
晋中市,16585,44935,14412,40982,2173,3952,10.7,9.6,24.1
晋中经济技术开发区,2245,5513,1739,5004,507,509,315.1,278.1,11310.1
长治市,17535,25192,4825,11884,12710,13308,-7.1,-41.9,99.5
长治高新技术产业开发区,775,1413,547,896,228,517,-84.2,-89.2,-21.1
内蒙古自治区,1354118,3062262,440448,1132361,913670,1929902,3.8,4.4,3.4
呼和浩特市,154976,330393,64074,165779,90902,164614,0.2,24.2,-16.2
包头市,253743,489876,83994,202337,169749,287539,19.7,21.0,18.8
包头高新技术产业开发区,309,866,303,640,7,226,-58.6,-69.4,-
二连浩特市,48446,126748,12096,35735,36350,91013,-39.4,42.0,-50.6
满洲里市,131835,300184,74735,171866,57099,128318,-34.7,-38.8,-28.4
辽宁省,4775813,11028506,2208290,5395701,2567523,5632805,-8.2,-5.5,-10.7
沈阳市,1127608,2280459,346769,842812,780839,1437647,13.4,18.5,10.5
沈阳经济技术开发区,406524,605689,141574,245143,264949,360547,104.1,25.4,255.9
沈阳高新技术产业开发区,69605,137468,49820,90513,19784,46955,-12.3,2.6,-31.5
大连市,2536470,6126282,1168296,2976932,1368174,3149350,-16.9,-14.3,-19.2
大连经济技术开发区,932636,2145972,523273,1181495,409363,964477,-17.1,-8.3,-25.8
大连市高新技术产业园区,50996,105191,39796,82820,11200,22371,18.8,9.7,72.2
鞍山市,246513,552753,142325,298068,104188,254685,6.0,13.7,-1.7
鞍山高新技术产业开发区,3879,15786,3792,15606,87,180,346.0,357.4,40.6
丹东市,107140,254292,87464,218795,19677,35497,-6.6,-8.0,3.1
营口市,316515,688500,165338,377505,151177,310995,-19.9,-9.1,-30.0
营口经济技术开发区,968,2606,476,1794,492,812,-25.0,-15.2,-40.2
吉林省,1160605,2763157,364475,885583,796130,1877574,14.6,8.3,17.8
长春市,853457,2154221,167507,512366,685950,1641856,28.9,34.8,27.1
长春经济技术开发区,77287,164059,39465,86758,37822,77301,-32.6,25.3,-55.7
长春高新技术产业开发区,58976,133889,28932,69996,30044,63893,18.0,27.4,9.2
吉林市,43136,91314,29432,63367,13705,27947,-12.8,-2.6,-29.5
吉林高新技术产业开发区,2231,6254,1691,4780,540,1474,-25.0,-24.4,-27.1
珲春市,127760,259760,50226,91071,77535,168689,-19.8,-17.4,-21.0
黑龙江省,2310954,4798393,426248,985515,1884706,3812878,-1.4,6.0,-3.2
哈尔滨市,274753,667434,99837,253979,174916,413455,-13.3,48.7,-31.0
哈尔滨经济技术开发区,65652,177970,6531,30796,59122,147174,-36.8,35.3,-43.1
哈尔滨高新技术产业开发区,71377,128658,24902,55973,46475,72686,-18.5,39.1,-38.2
大庆市,1016501,2476500,47487,109341,969014,2367158,12.7,17.8,12.4
大庆高新技术产业开发区,42017,85465,21083,40493,20934,44972,-3.5,-20.3,19.2
黑河市,544974,585188,23922,48613,521051,536575,6.2,-31.5,11.8
绥芬河市,185928,416683,79836,191924,106092,224759,51.8,91.0,29.1
绥化市,40816,86993,28722,70836,12093,16158,-11.6,19.3,-58.6
绥化经济技术开发区,6161,12064,6161,12064,-,-,-27.5,-27.5,-
上海市,28786450,67607849,11649338,26591275,17137111,41016574,-0.7,0.5,-1.5
上海漕河泾浦江高科技园区,370158,932155,172227,403798,197931,528358,0.0,5.4,-3.8
上海经济技术开发区,41,107,41,107,-,0,-46.2,-46.4,-
上海闵行经济技术开发区,58760,136286,36966,81893,21794,54393,3.4,4.0,2.6
上海浦东新区,17507485,41867522,6442491,14621943,11064993,27245579,0.2,-2.7,1.8
江苏省,37396353,85043769,23471503,54163188,13924850,30880581,13.4,11.9,16.2
南京市,3726282,9016572,2298685,5794093,1427597,3222479,0.2,13.3,-17.0
南京高新技术外向型开发区,78968,181238,63257,151644,15711,29595,29.1,23.1,71.6
无锡市,5100364,11409208,3299047,7440051,1801317,3969157,12.7,9.2,19.9
无锡高新技术产业开发区,2631513,5643660,1612592,3441764,1018921,2201896,9.3,4.5,17.9
常州市,2051406,4837377,1615029,3813985,436377,1023392,2.8,4.0,-1.7
常州高新技术产业开发区,34581,82439,26293,64326,8288,18113,-17.4,-13.9,-27.6
苏州市,17127517,38802359,10315315,23560126,6812201,15242234,13.5,11.6,16.6
苏州工业园,5097343,10503804,2323796,5054629,2773547,5449175,36.5,28.7,44.5
苏州高新技术产业开发区,1480225,3307288,999860,2235943,480365,1071346,-2.8,-6.0,4.6
南通市,2444954,5506211,1507099,3472549,937856,2033662,-3.1,-8.6,8.0
南通经济技术开发区,433691,969258,256326,588995,177366,380263,13.6,19.2,5.7
连云港市,1367416,2699570,234331,512571,1133085,2186999,87.8,8.2,126.9
连云港经济技术开发区,227893,420742,87085,170735,140808,250007,1.0,14.6,-6.6
浙江省,32975296,81686536,23238172,59910136,9737123,21776400,18.1,19.5,14.6
杭州市,5357777,12459789,3405285,8222007,1952493,4237782,16.6,17.7,14.6
杭州经济技术开发区,544811,1154013,378101,809240,166710,344773,13.3,34.6,-17.4
杭州高新技术产业开发区,189654,422522,117307,269509,72347,153013,87.3,54.9,195.9
宁波市,9278513,21783425,5704157,14077194,3574357,7706231,16.3,17.4,14.4
宁波经济技术开发区,1259439,2677146,478525,1120650,780914,1556495,-2.6,-4.8,-1.0
宁波高新技术产业开发区,251274,575806,183213,435071,68061,140735,45.7,50.2,33.2
宁波杭州湾经济技术开发区,104838,306297,90063,272265,14775,34031,81.3,78.2,110.3
温州市,1834891,4697088,1438717,3824108,396173,872980,19.5,14.8,45.6
温州经济技术开发区,103876,267275,103247,265256,629,2018,26.9,27.4,-21.1
湖州市,1194360,2913207,1107535,2732618,86825,180589,22.3,24.2,-1.3
湖州经济技术开发区,10557,26663,6367,11371,4191,15292,165.6,60.2,419.9
湖州莫干山高新技术产业开发区,30460,63589,23190,47662,7270,15928,233.7,219.5,284.5
金华市,5140755,14817275,4498491,13061651,642265,1755623,34.1,36.6,18.0
金华经济技术开发区,43653,106475,38298,95773,5355,10702,42.5,36.6,131.8
台州市,1529178,4066686,1401450,3743602,127728,323084,-6.3,-5.2,-17.7
台州湾经济技术开发区,-,106,-,-,-,106,-,-,-
安徽省,5599544,12251009,3623216,8146137,1976328,4104871,12.8,17.5,4.5
合肥市,2247574,5139448,1547502,3484877,700072,1654572,17.3,16.5,19.0
合肥经济技术开发区,822651,1962081,500892,1159169,321759,802912,40.4,27.9,63.5
合肥高新技术产业开发区,450718,1049268,387588,878644,63130,170624,7.6,7.3,9.0
