Unnamed: 0,收发货人所在地,当期进出口,当期进口,当期出口,进出口同比,进口同比,出口同比
,合计,1747740893511.0,436252515246.0,1311488378265.0,6.6,-1.6,9.7
,杭州地区,282924021779.0,85367475666.0,197556546113.0,9.4,-4.8,17.0
,湖州地区,65512768559.0,3793647083.0,61719121476.0,10.8,-6.2,12.0
,嘉兴地区,157944375854.0,38290121630.0,119654254224.0,5.3,0.6,6.9
,金华地区,297555440076.0,33847959479.0,263707480597.0,13.8,7.9,14.6
,丽水地区,14855732316.0,2161029607.0,12694702708.999998,26.2,34.0,25.0
,宁波地区,472445147100.0,151413618990.0,321031528110.0,8.2,-4.6,15.6
,衢州地区,23468295413.0,7980117203.0,15488178210.0,-0.1,6.0,-3.0
,绍兴地区,121223644773.0,10036238327.0,111187406446.0,-20.7,-29.8,-19.8
,台州地区,95554832958.0,8428056956.0,87126776002.0,14.0,14.2,14.0
,温州地区,94773759732.00002,13994734236.000002,80779025496.0,8.9,-11.2,13.4
,舟山地区,121482874951.00002,80939516069.0,40543358882.0,5.8,7.9,1.9
, 单位：人民币，万元，%,,,,,,
