Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,单位：万人民币,单位：万人民币,单位：万人民币
收发货人所在地,进出口,进出口,出口,出口,进口,进口,累计比去年同期±％,累计比去年同期±％.1,累计比去年同期±％.2
收发货人所在地,3月,1至3月,3月,1至3月,3月,1至3月,进出口,出口,进口
南京市,5251137,13358747,3745102,9116489,1506035,4242259,-0.1,9.9,-16.4
南京高新技术外向型开发区,72287,191181,63754,167419,8533,23762,-25.9,-23.3,-40.0
无锡市,6230417,18189162,4343707,12509948,1886711,5679214,5.0,9.6,-4.0
无锡高新技术产业开发区,3386242,9611604,2071117,5857996,1315125,3753608,9.1,8.6,10.0
常州市,3119490,8368262,2557852,6821020,561638,1547243,12.8,16.7,-1.8
常州高新技术产业开发区,1365587,3505471,1149013,2891284,216574,614187,25.7,33.0,0.0
苏州市,22805455,63252000,14991915,40316854,7813541,22935146,7.3,11.5,0.6
苏州工业园,6779502,18142500,3766323,9475222,3013179,8667279,13.9,17.8,10.0
苏州高新技术产业开发区,2061753,5361271,1460208,3648550,601544,1712721,2.5,4.3,-1.0
南通市,3231465,9459909,2141693,6124012,1089772,3335897,14.1,17.3,8.6
南通经济技术开发区,634585,1633657,393899,927664,240686,705993,8.5,3.2,16.3
连云港市,1501783,4234802,327246,1048451,1174538,3186351,6.6,22.6,2.3
连云港经济技术开发区,631539,1370049,81005,289803,550534,1080246,117.2,9.0,195.9
浙江省,44866698,129322341,33749651,97075374,11117047,32246967,7.3,11.1,-2.8
杭州市,7465810,21034066,5235919,14705015,2229891,6329051,10.8,18.7,-4.0
杭州经济技术开发区,684536,1938486,492470,1350493,192066,587994,6.5,11.0,-2.6
杭州高新技术产业开发区,239488,674598,163525,469044,75963,205554,6.4,14.6,-8.6
宁波市,11500252,34885173,7816313,23780259,3683940,11104914,8.4,17.0,-6.3
宁波及宁波大榭经济技术开发区,1166778,3710969,635790,1904938,530988,1806031,-5.4,14.8,-20.2
宁波高新技术产业开发区,299019,1008594,223813,708347,75205,300247,19.9,15.2,32.9
宁波杭州湾经济技术开发区,151557,419907,126017,352466,25540,67441,-4.4,-9.3,32.4
温州市,2191227,6822174,1728908,5871807,462319,950367,6.9,14.3,-23.4
温州经济技术开发区,112416,409357,111151,404435,1265,4922,18.5,18.2,47.8
湖州市,2311761,5101282,2203938,4832926,107824,268356,10.0,11.1,-6.5
湖州经济技术开发区,14274,21997,13035,18440,1239,3557,-60.2,-47.6,-82.3
湖州莫干山高新技术产业开发区,24617,75804,21008,65746,3609,10058,-12.0,20.3,-68.0
金华市,6936138,21692280,6028396,19219393,907742,2472886,12.4,14.3,-0.2
金华经济技术开发区,64885,194540,47209,151392,17676,43148,27.8,14.9,111.2
台州市,2656782,7236392,2433905,6638435,222877,597957,17.3,18.0,10.6
台州湾经济技术开发区,14929,47465,11446,36811,3484,10654,4630.8,5081.4,3537.8
安徽省,7383564,21533167,5174429,14783171,2209135,6749996,13.1,17.3,4.8
合肥市,3083531,9484382,2135284,6611789,948247,2872593,16.8,19.2,11.6
合肥经济技术开发区,1333012,3952300,846240,2459153,486772,1493146,23.2,23.0,23.6
合肥高新技术产业开发区,610847,2146990,516885,1896020,93962,250970,27.9,39.4,-21.4
芜湖市,1226284,3667619,1002073,2972694,224211,694925,15.9,19.2,3.5
芜湖经济技术开发区,838729,2402585,708748,2072963,129980,329622,15.7,14.3,25.2
芜湖高新技术产业开发区,17297,53095,15195,44945,2102,8150,-8.3,-2.3,-31.4
蚌埠市,130202,366567,78791,228458,51411,138109,-3.9,-8.2,4.1
蚌埠高新技术产业开发区,29554,80736,15250,47278,14304,33458,13.6,13.4,13.9
淮南市,89658,189055,85450,175079,4208,13976,-0.4,-1.8,22.6
淮南经济技术开发区,40900,86717,40900,84555,-,2162,507.7,516.6,288.0
淮南高新技术产业开发区,341,5969,341,5788,-,180,397855.8,385829.8,-
马鞍山市,389293,1135019,269514,708791,119780,426229,6.2,27.3,-16.8
马鞍山经济技术开发区,46259,109830,40016,102620,6243,7210,0.7,-1.1,34.9
马鞍山慈湖高新技术产业开发区,44810,116718,40076,103820,4734,12898,28.7,25.2,65.7
铜陵市,878258,2227296,256072,440291,622187,1787005,14.4,126.2,2.0
铜陵经济技术开发区,71363,195018,63170,169184,8194,25834,-4.4,112.3,-79.2
安庆市,401561,1190576,366921,1008404,34639,182172,13.4,24.9,-24.8
安庆经济技术开发区,275750,788142,253899,645959,21851,142183,2.6,9.3,-19.6
桐城经济技术开发区,1082,3199,1035,3023,47,176,88.5,108.3,-28.2
滁州市,341706,990211,307288,883827,34418,106384,6.1,9.4,-15.4
滁州经济技术开发区,110617,320405,93930,268476,16686,51929,-4.1,-4.1,-4.1
六安市,58838,178271,54553,167455,4285,10816,4.7,14.0,-53.9
六安经济技术开发区,11593,28165,11385,26990,207,1175,-4.4,-5.1,16.7
宣城市,228515,635773,206311,565526,22203,70248,12.1,11.4,18.6
宁国经济技术开发区,42524,119657,39619,112757,2904,6899,-0.9,-2.0,21.0
宣城经济技术开发区,16184,43344,13198,37409,2985,5934,-13.0,-13.8,-7.8
池州市,145419,424562,47183,96644,98237,327918,34.5,3.8,47.4
池州经济技术开发区,49317,162657,19315,34154,30002,128503,85.4,8.7,128.2
福建省,15915214,44182137,9432523,26773272,6482691,17408865,-11.8,-13.3,-9.4
福州市,2049247,5753021,1422033,3978621,627214,1774401,-40.6,-47.3,-16.6
福州经济技术开发区,355967,894584,249263,593241,106704,301343,-27.1,-34.9,-4.4
福州高新技术产业开发区,4456,11424,3745,9883,711,1541,62.1,49.1,268.6
厦门市,7764271,21593486,4163161,11443708,3601110,10149779,-3.4,6.0,-12.1
厦门火炬高技术产业开发区,429065,1191786,223456,606821,205610,584965,-2.9,43.1,-27.2
平潭,99264,223796,62294,131583,36969,92213,-39.0,-48.6,-16.6
平潭综合实验区,99264,223796,62294,131583,36969,92213,-39.0,-48.6,-16.6
江西省,3670037,10496893,2363107,6827231,1306930,3669662,1.0,0.2,2.7
南昌市,827732,2397730,579608,1711852,248124,685878,15.4,24.6,-2.5
南昌经济技术开发区,93027,319387,38689,120724,54338,198663,-26.0,-14.1,-31.8
南昌小蓝经济技术开发区,13715,46226,12524,41972,1191,4254,106.2,143.3,-17.6
南昌高新技术产业开发区,441702,1166299,279903,767843,161799,398455,42.1,45.5,36.0
景德镇市,51803,158222,44952,147580,6851,10643,-8.4,-10.8,47.0
景德镇高新技术产业开发区,6202,11166,1562,5035,4640,6130,119.0,24.4,482.8
萍乡市,42257,139397,33273,115909,8984,23488,-5.6,18.1,-52.5
萍乡经济技术开发区,1564,7295,543,4644,1021,2651,-28.1,-50.1,213.7
九江市,312316,1004324,156326,496145,155989,508179,1.0,-9.4,13.8
九江经济技术开发区,89593,231083,39349,103425,50243,127658,-35.7,-49.7,-16.9
九江共青城高新技术产业开发区,4665,12758,4529,12259,136,499,9.5,10.1,-4.1
新余市,176576,514295,68438,198611,108139,315684,-35.8,-49.1,-23.1
新余高新技术产业开发区,27444,74592,21744,54522,5699,20070,8.3,13.2,-3.1
鹰潭市,360831,1198058,137296,360878,223535,837180,11.4,77.3,-4.0
鹰潭高新技术产业开发区,12572,46886,5512,18666,7060,28220,37.1,91.3,15.4
贵溪经济技术开发区,72025,182096,8628,25755,63397,156340,-,-,-
赣州市,1031683,2589094,596719,1682632,434964,906461,19.9,10.0,43.8
赣州经济技术开发区,703910,1638635,350455,964548,353456,674086,38.5,18.0,84.4
龙南经济技术开发区,17315,70031,16002,55984,1312,14047,-28.3,-32.3,-6.4
瑞金经济技术开发区,22420,65437,22406,65102,14,335,27.8,27.2,10429.6
赣州高新技术产业开发区,21995,44184,7091,17266,14903,26917,-34.8,50.1,-52.2
宜春市,161593,514853,137087,446056,24506,68797,26.1,30.3,4.3
宜春经济技术开发区,24215,76449,22825,72523,1389,3926,159.4,185.8,-4.0
宜春丰城高新技术产业开发区,34296,100014,22945,69138,11351,30876,13.6,18.8,3.5
上饶市,238257,684878,206049,562310,32207,122568,-48.9,-52.5,-21.5
上饶经济技术开发区,18639,83492,18620,83434,19,58,-84.8,-84.8,-97.6
吉安市,293276,788886,244975,647916,48301,140969,6.5,16.1,-22.8
井冈山经济技术开发区,40688,102533,33530,82963,7157,19570,-9.4,-4.5,-25.6
吉安高新技术产业开发区,38,601,38,601,-,0,-88.0,-88.0,-99.5
抚州市,173714,507156,158384,457342,15330,49815,7.7,8.6,0.0
抚州高新技术产业开发区,87806,239085,86445,234471,1360,4614,5.0,8.2,-58.1
山东省,32287178,82033892,19782108,49422518,12505070,32611373,5.9,4.8,7.5
济南市,2105208,5780285,1343836,3597910,761372,2182375,22.6,8.4,56.6
济南高新技术产业开发区,1113845,3032175,579571,1491579,534275,1540596,37.9,0.9,113.9
青岛市,8004046,21115997,4821763,12768971,3182283,8347027,2.3,6.9,-4.1
青岛经济技术开发区,2271782,6399038,1010029,2916031,1261752,3483007,-4.4,20.0,-18.3
青岛高新技术产业开发区,110374,306300,74264,193430,36110,112870,22.7,27.4,15.4
淄博市,1014855,2562200,593973,1576811,420883,985388,-1.0,5.0,-9.2
淄博高新技术产业开发区,137995,374976,122756,327041,15239,47935,15.2,16.6,6.8
日照市,1116428,3036179,431964,1132232,684464,1903947,-0.4,0.5,-0.9
日照经济技术开发区,45128,114067,24113,51411,21015,62656,-46.6,-39.2,-51.4
烟台市,4411121,11707769,2522174,6614348,1888947,5093421,12.5,-1.7,38.2
烟台经济技术开发区,888977,2693263,556821,1497900,332156,1195363,-11.3,-1.9,-20.9
潍坊市,4065468,9174211,2707058,6086242,1358410,3087969,7.6,8.7,5.6
潍坊高新技术产业开发区,1534212,2809327,938197,1651123,596015,1158204,7.8,3.6,14.3
威海市,1928062,4645766,1598565,3612589,329497,1033176,-0.4,0.9,-4.8
威海火炬高技术产业开发区,223485,615888,159337,460864,64148,155024,6.3,3.5,15.8
河南省,6885035,20425871,4824060,13889059,2060975,6536812,28.0,42.2,5.5
郑州市,4618615,13772103,3312370,9685703,1306245,4086400,42.0,64.9,6.8
郑州经济开发区,304930,723509,222844,527841,82086,195668,10.7,1.6,45.9
郑州航空港经济综合实验区,3457644,10366216,2399448,7045168,1058196,3321048,60.2,124.3,-0.3
郑州高新技术产业开发区,87821,243229,78001,210870,9820,32360,-1.6,-12.5,409.9
洛阳市,216625,685002,169827,505527,46798,179475,13.2,1.4,68.9
洛阳高新技术产业开发区,78813,282166,38022,126530,40791,155636,61.7,45.0,78.4
湖北省,7290367,17430904,5525080,12461945,1765287,4968959,16.6,22.4,4.2
武汉市,3672973,9496941,2645038,6330270,1027935,3166670,17.8,23.3,8.1
武汉经济技术开发区,230678,712229,166497,479951,64181,232278,-40.0,-29.2,-54.4
武汉东湖新技术开发区,1860851,5091460,1294782,3155009,566069,1936450,29.0,26.2,33.7
黄石市,697178,1539904,271237,599645,425941,940260,12.3,14.8,10.8
