Unnamed: 0,收发货人所在地,当期进出口,当期进口,当期出口,进出口同比,进口同比,出口同比
,合计,844716583707.0,211481160341.0,633235423366.0,3.3,-3.0,5.5
,杭州地区,135719905057.0,41024590740.0,94695314317.0,7.8,-3.2,13.4
,湖州地区,27896348634.0,1606180269.0,26290168365.000004,-1.7,-12.2,-1.0
,嘉兴地区,72930563561.0,19129663516.0,53800900045.0,1.5,-3.8,3.6
,金华地区,147581584675.0,15665396054.0,131916188621.0,-0.4,-10.9,1.1
,丽水地区,7236152848.0,1039779741.0000001,6196373107.0,14.9,14.0,15.0
,宁波地区,233875076776.0,74231774984.0,159643301792.0,7.4,-3.8,13.5
,衢州地区,11325945658.0,4592362959.0,6733582699.0,20.0,58.3,3.0
,绍兴地区,56994252452.99999,5180505722.0,51813746731.0,-15.0,-12.0,-15.2
,台州地区,45797226793.0,3750460435.9999995,42046766357.00001,12.6,17.0,12.2
,温州地区,46321713942.0,4881945976.0,41439767966.0,-1.2,-43.9,8.6
,舟山地区,59037813310.0,40378499944.0,18659313366.0,6.1,7.6,2.9
, 单位：人民币，万元，%,,,,,,
