Unnamed: 0,收发货人所在地,当期进出口,当期进口,当期出口,进出口同比,进口同比,出口同比
,合计,2239022055198.0,547445614377.00006,1691576440821.0,6.5,-2.2,9.6
,杭州地区,358590261848.0,106904630070.99998,251685631777.00003,8.4,-4.5,14.9
,湖州地区,79037936027.0,4896773293.0,74141162734.0,8.9,-6.0,10.0
,嘉兴地区,199641382903.0,47885455396.0,151755927507.0,5.3,1.6,6.4
,金华地区,411516633412.0,44736631155.0,366780002257.0,19.8,14.0,20.6
,丽水地区,18707470541.0,2674626541.0,16032844000.0,26.8,43.6,24.4
,宁波地区,596831328862.0,191220270711.99997,405611058150.0,6.4,-4.0,12.2
,衢州地区,29582558112.0,9789786483.0,19792771629.0,-3.8,0.6,-5.8
,绍兴地区,154208482394.0,11828609291.0,142379873103.0,-19.8,-33.4,-18.4
,台州地区,120954070161.0,10312347697.0,110641722464.0,13.3,8.3,13.8
,温州地区,121411989694.0,17172501817.999998,104239487876.0,8.5,-12.2,12.9
,舟山地区,148539941244.0,100023981920.0,48515959324.0,-0.4,1.5,-4.0
, 单位：人民币，万元，%,,,,,,
