Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,单位：万人民币,单位：万人民币,单位：万人民币
收发货人所在地,进出口,进出口,出口,出口,进口,进口,累计比去年同期±％,累计比去年同期±％.1,累计比去年同期±％.2
收发货人所在地,12月,1至12月,12月,1至12月,12月,1至12月,进出口,出口,进口
总值,406696046,4384679258,240993600,2545453724,165702447,1839225534,5.0,7.1,2.3
北京市,31165048,360835223,5365248,60654836,25799800,300180387,-1.0,1.1,-1.4
中关村国家自主创新示范区,520082,5523237,206336,2175695,313746,3347542,-1.7,-5.2,0.7
北京经济技术开发区,2740530,19530340,555551,5579230,2184979,13951110,15.1,14.6,15.3
天津市,7294945,81156045,3583284,39137463,3711661,42018582,1.3,7.8,-4.0
天津滨海新区,4841129,56086328,1918015,22251778,2923114,33834550,-0.5,4.3,-3.4
天津经济技术开发区,1820364,22166712,843003,10336676,977361,11830036,0.6,1.7,-0.3
天津滨海高新技术产业开发区,144004,1817498,117474,1459217,26529,358281,-11.1,1.4,-40.9
河北省,5603125,61500028,3321559,37248321,2281566,24251707,5.5,6.3,4.3
石家庄市,1451955,13192475,923794,8105321,528161,5087154,6.3,4.7,9.0
石家庄高新技术产业开发区,908,11169,790,8461,118,2707,8.1,11.0,0.2
唐山市,1428205,14840368,416265,4765809,1011939,10074560,-9.8,-17.9,-5.4
曹妃甸经济技术开发区,10551,758862,10551,274734,-,484127,-8.8,-55.4,124.0
秦皇岛市,371364,4146987,232013,2776951,139351,1370035,-2.1,2.9,-10.9
秦皇岛经济技术开发区,292620,3128940,167075,2014403,125545,1114537,2.4,6.5,-4.2
保定市,662136,7941637,626847,7533617,35289,408021,11.2,13.6,-19.7
保定高新技术产业开发区,1248,16749,1248,15879,-,870,13.7,12.3,47.1
廊坊市,405038,5516864,228856,2693220,176182,2823644,17.6,23.7,12.3
廊坊经济技术开发区,5357,303346,3620,31364,1736,271982,89.2,-38.2,148.3
雄安新区,30708,363131,24236,296428,6472,66702,17.7,21.0,4.9
山西省,1495392,17437641,825258,10657093,670134,6780548,3.1,1.5,5.8
太原市,977180,12955749,546590,8328925,430589,4626824,-3.8,0.7,-11.0
太原经济技术开发区,519231,8282273,380178,6230643,139053,2051630,-8.2,-8.7,-6.7
太原高新技术产业开发区,48406,435418,12060,189756,36346,245663,33.9,90.1,9.0
大同市,92088,450394,55072,377030,37016,73364,4.2,-2.7,63.6
大同经济技术开发区,83331,332090,47918,293885,35412,38204,0.6,-3.6,50.7
晋中市,49992,449671,30767,305518,19225,144153,39.7,4.2,403.9
晋中经济技术开发区,2807,48229,2375,34598,432,13631,143.3,79.4,2450.8
长治市,12922,155213,12539,119471,383,35741,16.6,-0.7,179.9
长治高新技术产业开发区,958,27598,610,18948,348,8650,-33.8,-46.3,34.9
内蒙古自治区,1915154,20731342,857296,8528064,1057858,12203279,5.8,9.2,3.5
呼和浩特市,255767,2266652,180186,1278885,75581,987767,17.3,8.3,31.3
包头市,263347,3252436,129152,1539217,134195,1713218,8.4,26.8,-4.1
包头高新技术产业开发区,26327,142722,20732,113112,5594,29610,1087.4,1155.6,883.5
二连浩特市,77313,970110,31999,393742,45314,576368,-10.0,18.6,-22.8
满洲里市,237143,2582915,143962,1722826,93181,860088,1.8,8.9,-9.9
辽宁省,6852510,76305188,3609293,37767290,3243218,38537898,-0.5,6.8,-6.7
沈阳市,1086314,14656292,575485,5823722,510830,8832569,-0.2,11.0,-6.5
沈阳经济技术开发区,568684,8564212,204305,2160606,364379,6403606,311.9,69.7,694.3
沈阳高新技术产业开发区,104900,1069229,62952,669114,41949,400115,1.5,9.2,-9.1
大连市,4359719,44966813,2200525,22001460,2159193,22965353,-1.3,5.8,-7.2
大连经济技术开发区,1396952,14955794,701509,8247754,695443,6708041,-8.6,2.8,-19.6
大连高新技术产业园区,70287,722290,58233,595748,12055,126542,7.0,4.2,22.3
鞍山市,243454,3058887,138920,1880248,104534,1178638,-4.3,8.2,-19.2
鞍山高新技术产业开发区,1327,41440,1203,33725,124,7715,-11.4,-19.4,57.3
丹东市,157501,1709406,139496,1435460,18005,273946,0.3,-2.0,13.7
营口市,305662,4543787,202217,2394428,103445,2149359,-4.8,3.4,-12.6
营口经济技术开发区,1641,86735,863,12405,778,74329,-38.7,-21.6,-40.8
吉林省,1420368,17640977,613486,6770343,806881,10870634,5.1,8.0,3.4
长春市,941712,12750578,281626,3447263,660086,9303315,4.0,4.1,4.0
长春经济技术开发区,114458,1121612,51695,490324,62763,631288,-10.6,4.7,-19.8
长春高新技术产业开发区,70315,779920,35067,402865,35247,377055,-5.8,1.8,-12.8
吉林市,75213,672599,62617,485272,12596,187327,7.2,16.1,-10.6
吉林高新技术产业开发区,4935,46596,4454,42650,480,3946,-2.2,29.9,-73.4
珲春市,219829,2103009,120378,995363,99450,1107646,-4.1,-7.8,-0.5
延吉市,22967,533914,18663,497454,4305,36460,637.9,843.6,85.7
黑龙江省,2904679,31227564,1064494,8697060,1840185,22530504,4.8,14.4,1.5
哈尔滨市,405345,4832422,243856,2622758,161489,2209664,-2.6,23.3,-22.0
哈尔滨经济技术开发区,140167,1061204,89627,398387,50539,662817,-25.7,87.0,-45.4
哈尔滨高新技术产业开发区,48761,953492,26409,505421,22352,448071,-8.1,0.2,-16.0
大庆市,1479374,15547047,51702,685248,1427673,14861798,8.2,-5.0,8.9
大庆高新技术产业开发区,22844,414336,12577,222437,10267,191899,-30.5,-40.1,-14.5
黑河市,127955,3135146,122575,690592,5380,2444553,19.1,39.5,14.4
绥芬河市,397200,2778476,265713,1571139,131487,1207337,16.7,34.2,-0.3
绥化市,57808,562744,42749,437009,15058,125735,-8.8,21.6,-51.2
绥化经济技术开发区,5688,72187,5688,72184,-,3,-2.0,-2.0,1247.7
上海市,39290069,426808654,17575763,181760109,21714307,245048545,1.3,4.6,-1.0
漕河泾新兴技术开发区,624031,6594317,300346,3295225,323685,3299092,16.2,40.4,-0.9
虹桥经济技术开发区,70,758,70,756,-,2,-12.5,-11.4,-84.4
闵行经济技术开发区,91479,1005644,64525,607948,26955,397696,4.6,6.2,2.3
上海浦东新区,23749824,260763785,9652202,100155264,14097622,160608521,1.2,1.2,1.2
江苏省,52571469,561769537,36162266,365312653,16409203,196456883,7.0,8.4,4.6
南京市,5324169,54591934,3653025,34627304,1671144,19964630,-3.6,3.9,-14.3
南京高新技术外向型开发区,78132,897940,69376,777839,8756,120101,-16.4,-16.3,-16.7
无锡市,7152499,77094580,4991001,50368096,2161498,26726484,9.1,8.1,11.0
无锡高新技术产业开发区,3527382,39378425,2205766,23109342,1321616,16269082,10.5,8.6,13.4
常州市,3203200,32738949,2553060,26041310,650140,6697639,2.8,4.3,-2.3
常州高新技术产业开发区,1174014,12407850,926029,9687126,247986,2720724,3.7,5.6,-2.7
苏州市,23606434,261931091,15306082,163688122,8300353,98242969,6.8,8.5,4.1
苏州工业园,6550306,69142994,3551257,35089250,2999049,34053745,13.9,16.6,11.3
苏州高新技术产业开发区,1875175,23001547,1241739,15271843,633436,7729705,-6.9,-12.4,6.4
南通市,4550567,39498741,3293640,26081506,1256927,13417235,12.9,13.9,10.8
南通经济技术开发区,639939,7651187,408141,4370098,231798,3281089,7.2,4.0,11.7
连云港市,1320453,15909557,390006,4025500,930447,11884057,17.0,12.2,18.7
连云港经济技术开发区,405139,3224692,126398,1306050,278741,1918642,24.7,19.2,28.7
浙江省,45537948,526412573,33238139,390574650,12299809,135837922,7.4,9.5,1.9
杭州市,7743066,85493957,5483020,59495399,2260046,25998558,6.4,11.5,-3.5
杭州经济技术开发区,733182,8217702,456312,5499258,276870,2718443,-0.4,21.3,-26.9
杭州高新技术产业开发区,299381,3094935,224774,2055847,74607,1039088,27.2,12.2,73.2
宁波市,12834764,142025159,8524621,94553224,4310143,47471935,11.1,14.1,5.6
宁波及宁波大榭经济技术开发区,1465285,17189619,606491,7936504,858793,9253115,5.9,10.2,2.4
宁波高新技术产业开发区,388000,4129526,234564,2852887,153436,1276639,35.6,22.9,76.1
宁波杭州湾经济技术开发区,160480,1988762,126694,1660905,33786,327858,25.8,21.9,50.0
温州市,2308726,29365779,2076374,25197672,232352,4168107,4.1,7.7,-13.6
温州经济技术开发区,155881,1699548,154312,1687066,1568,12482,13.3,13.7,-24.9
湖州市,1441334,16640128,1279404,15306206,161930,1333922,2.8,2.7,3.8
湖州经济技术开发区,16806,178276,15091,91420,1716,86856,26.0,87.1,-6.2
湖州莫干山高新技术产业开发区,12479,234809,9361,150577,3118,84232,13.8,18.4,6.5
金华市,7319095,87949043,6207268,77191846,1111827,10757197,14.3,16.4,0.9
金华经济技术开发区,85297,731467,71347,616883,13950,114584,25.4,17.6,95.5
台州市,2253245,26257951,2009908,23857958,243338,2399993,-4.3,-5.1,4.4
台州湾经济技术开发区,5066,11768,1298,5207,3768,6562,-,-,-
安徽省,8271866,86484921,5760090,57975057,2511776,28509864,7.4,10.8,1.0
合肥市,3747895,37907259,2635724,25727402,1112171,12179857,5.7,10.6,-3.4
合肥经济技术开发区,1675263,16075509,1152316,9953823,522947,6121685,15.1,28.1,-1.2
合肥高新技术产业开发区,664371,7395193,555901,6076932,108469,1318261,6.2,8.8,-4.2
芜湖市,1364115,14716647,1096132,12043369,267983,2673277,15.4,16.4,11.3
芜湖经济技术开发区,825556,9862722,695936,8719259,129620,1143463,16.6,15.8,23.0
芜湖高新技术产业开发区,22110,242363,19524,206752,2586,35611,3.6,6.0,-8.2
蚌埠市,128313,1575706,86091,1032245,42222,543461,-11.4,-11.2,-11.9
蚌埠高新技术产业开发区,35091,348220,17843,192715,17248,155505,10.2,-6.2,40.6
淮南市,63469,612554,59028,556458,4440,56096,-42.8,-45.8,28.2
淮南经济技术开发区,19972,62506,19630,59978,342,2528,-68.8,-69.6,-24.2
淮南高新技术产业开发区,12163,74712,11622,74112,540,601,1385721.8,1374582.9,-
马鞍山市,586489,4708525,447211,2989375,139278,1719150,7.6,34.2,-20.0
马鞍山经济技术开发区,40142,418839,36930,402762,3212,16077,7.3,15.1,-60.2
马鞍山慈湖高新技术产业开发区,33900,402005,31184,367139,2717,34866,27.4,28.5,17.0
铜陵市,757647,9791927,158089,1859917,599558,7932010,23.5,119.4,12.1
铜陵经济技术开发区,77413,906739,63209,590462,14203,316278,165.7,215.9,104.9
安庆市,420665,3788296,310739,2893736,109927,894560,5.7,7.2,1.3
安庆经济技术开发区,293054,2422628,206198,1759129,86856,663499,0.2,-1.5,5.1
桐城经济技术开发区,1308,12694,932,10471,377,2223,96.7,114.3,41.8
滁州市,320787,4033792,278743,3487795,42043,545996,-1.5,0.9,-14.0
滁州经济技术开发区,112268,1424408,90544,1173261,21724,251147,-10.2,-5.1,-28.1
六安市,80489,781010,74097,680652,6393,100357,-24.2,-25.4,-14.9
六安经济技术开发区,9730,122808,9303,112932,427,9876,-50.3,-50.4,-48.6
宣城市,265029,2605391,237286,2348857,27744,256534,22.5,20.8,40.4
宁国经济技术开发区,54266,549139,50534,517841,3732,31298,11.1,12.0,-2.5
宣城经济技术开发区,10795,196916,8394,164011,2401,32906,30.7,14.9,319.2
池州市,150250,1524451,35586,380169,114664,1144282,10.7,7.0,12.0
池州经济技术开发区,49877,641114,18386,180791,31491,460323,35.1,14.5,45.3
福建省,18082494,198985041,11842342,123861911,6240152,75123130,0.8,5.3,-5.8
福州市,2989623,35068562,2175417,25680216,814206,9388345,2.1,0.4,7.3
福州经济技术开发区,413326,4403168,292332,3007306,120993,1395862,5.4,11.0,-4.9
福州高新技术产业开发区,4278,34224,2995,30527,1283,3697,23.8,13.7,367.9
厦门市,8121209,93261218,4277747,49801089,3843462,43460129,-1.5,11.3,-13.0
厦门火炬高技术产业开发区,405757,4511511,217435,2207071,188322,2304440,11.2,14.1,8.6
平潭,94165,1481843,57544,979437,36622,502406,-13.2,8.9,-37.8
平潭综合实验区,94165,1481843,57544,979437,36622,502406,-13.2,8.9,-37.8
江西省,4110093,47075137,2699799,30455148,1410294,16619989,-17.2,-22.5,-5.5
南昌市,965071,10898121,654038,7233378,311033,3664743,-2.1,-8.2,12.7
南昌经济技术开发区,131050,1883297,48705,599015,82346,1284281,23.5,-6.1,44.9
南昌小蓝经济技术开发区,15204,122943,12972,100349,2232,22593,-61.1,-67.0,92.8
南昌高新技术产业开发区,449804,4855720,269150,3087263,180654,1768457,2.5,8.3,-6.2
景德镇市,97031,723469,95007,700842,2025,22628,-44.5,-31.9,-91.8
景德镇高新技术产业开发区,1972,23859,1712,20089,260,3771,-20.4,-20.3,-21.4
萍乡市,80125,667009,61242,558581,18883,108429,-59.1,-63.0,-11.1
萍乡经济技术开发区,10968,58969,10179,54612,789,4357,-91.5,-91.7,-87.7
九江市,357243,4017839,175755,2081358,181488,1936480,-41.3,-57.1,-2.5
九江经济技术开发区,57446,982194,33612,548477,23834,433716,-35.5,-20.5,-47.9
九江共青城高新技术产业开发区,4125,44909,3744,42431,381,2478,-42.3,-44.2,32.4
新余市,195915,2676359,87491,1317933,108424,1358426,-52.7,-49.0,-55.9
新余高新技术产业开发区,29171,288149,21410,227862,7761,60287,29.2,12.3,200.4
鹰潭市,436827,4723261,100821,1150664,336006,3572597,8.6,8.6,8.5
鹰潭高新技术产业开发区,18777,191216,6706,83482,12072,107734,-14.6,-26.7,-1.9
贵溪经济技术开发区,24637,24637,1308,1308,23329,23329,-,-,-
赣州市,824969,11125011,570978,7195773,253991,3929238,12.7,18.1,4.0
赣州经济技术开发区,463312,6736295,294104,3930376,169208,2805919,51.8,118.1,6.4
龙南经济技术开发区,29389,402969,20735,326616,8655,76353,20.4,12.6,71.2
瑞金经济技术开发区,30714,320476,30659,320151,55,325,11.0,11.1,-56.9
赣州高新技术产业开发区,17261,269122,7987,73312,9274,195809,7.5,-18.7,22.2
宜春市,381314,2310714,351836,1958873,29478,351841,-20.0,-25.5,35.3
宜春经济技术开发区,181168,471826,180414,451128,754,20699,13.4,14.6,-7.7
宜春丰城高新技术产业开发区,35980,388173,21861,257343,14118,130831,77.9,58.2,136.0
上饶市,241648,4487549,161336,3686139,80313,801409,-19.0,-27.7,80.5
上饶经济技术开发区,21975,1677844,21951,1642989,24,34855,1610.8,1579.4,14289.1
吉安市,368823,3588916,290192,2877707,78630,711209,-32.4,-34.1,-24.7
井冈山经济技术开发区,54552,528868,31643,396244,22909,132624,-35.3,-40.2,-14.2
吉安高新技术产业开发区,627,13253,627,13252,-,1,22.4,22.4,65.7
抚州市,161127,1856889,151104,1693900,10024,162989,-20.4,-22.5,10.4
抚州高新技术产业开发区,65350,776268,62284,749205,3066,27063,2.6,1.7,36.3
山东省,33029877,338061802,21197375,208115537,11832501,129946265,3.5,7.1,-1.8
济南市,2527303,23243423,1702318,15755569,824984,7487854,7.5,14.7,-5.1
济南高新技术产业开发区,1217522,11811550,614239,6862577,603284,4948973,8.1,25.0,-9.0
青岛市,7707455,90767221,4972719,52782441,2734735,37984780,3.6,12.0,-6.2
青岛经济技术开发区,2321473,27191523,1278372,12018102,1043101,15173421,-7.6,26.6,-23.9
青岛高新技术产业开发区,129598,1278581,78776,733851,50822,544730,66.9,53.8,88.7
淄博市,903573,10477183,679151,6498059,224423,3979125,1.1,4.0,-3.3
淄博高新技术产业开发区,142250,1395769,127356,1198067,14894,197702,-7.9,-1.9,-32.8
日照市,1078402,12789679,454593,4923943,623808,7865736,-7.0,-2.7,-9.5
日照经济技术开发区,40811,872666,16186,307435,24626,565231,-30.8,-54.3,-4.0
烟台市,4683665,47234204,2492656,27735632,2191009,19498572,3.4,4.5,1.8
烟台经济技术开发区,1360862,13777816,667093,7058006,693770,6719810,9.6,13.2,6.2
潍坊市,3228810,35827438,2235984,24497230,992826,11330209,5.2,6.4,2.7
