Unnamed: 0,收发货人所在地,当期进出口,当期进口,当期出口,进出口同比,进口同比,出口同比
,合计,1206510099416.0,331880971033.0,874629128383.0,7.829401719063993,11.250898428370823,6.585547919631571
,杭州地区,188710013441.0,66120845828.0,122589167613.0,5.736297679352978,13.475557737843921,1.9846818133694533
,湖州地区,48054136590.0,2846209102.0,45207927488.0,18.79136325376477,-8.356384114744122,21.048951949678493
,嘉兴地区,113676013538.0,29343777271.0,84332236267.0,10.802903400707363,20.641403559498066,7.745491011074715
,金华地区,193074057756.0,24744879910.0,168329177846.0,14.591122045717967,1.7749516164436607,16.752392449875618
,丽水地区,8733791356.0,1142845147.0,7590946209.0,10.65117910748862,-28.4578813717925,20.574636808119536
,宁波地区,321891937647.0,118595276199.0,203296661448.0,8.624055461015201,12.904085641393607,6.2738769978583715
,衢州地区,15746579693.0,4473157188.0,11273422505.0,-2.282719232081196,-32.19108562446223,18.446706223402764
,绍兴地区,106349825400.0,9894403790.0,96455421610.0,17.052924889556152,48.55709930728451,14.560778020147358
,台州地区,61374428725.0,5429699102.0,55944729623.0,-12.019655691529536,-10.840458423754775,-12.132443918163837
,温州地区,64090232710.0,12445845573.0,51644387137.0,-5.671778457654784,37.75317209640621,-12.331877820116501
,舟山地区,84809082560.0,56844031923.0,27965050637.0,6.016069271833523,6.676074523432407,4.69934873304568
, 单位：人民币，元，%,,,,,,
