Unnamed: 0,收发货人所在地,当期进出口,当期进口,当期出口,进出口同比,进口同比,出口同比
,合计,2564520805368.0,662590040572.0,1901930764796.0,7.752870594509556,5.484134999589162,8.566341722151826
,杭州地区,406317249994.0,132395193480.0,273922056514.0,5.374499259478823,4.9411944295785775,5.585214451585678
,湖州地区,88510467785.0,6511320594.0,81999147191.0,11.066738804530887,-0.6500715342245712,12.116696686615912
,嘉兴地区,232545649778.0,54863422698.0,177682227080.0,9.714876549232613,18.506658338893704,7.2578926131201
,金华地区,423595536213.0,47585228237.0,376010307976.0,14.724336835225404,-9.544289279472636,18.756508631904502
,丽水地区,18261493628.0,2154211191.0,16107282437.0,15.116419168982365,-17.922883199186046,21.66648621890057
,宁波地区,681144763188.0,235829461173.0,445315302015.0,9.474865158697444,8.60018555651354,9.943807713769406
,衢州地区,37584739849.0,11588713932.0,25996025917.0,13.753743993228404,-7.4130110719905,26.662376504446716
,绍兴地区,226776132055.0,19844946281.0,206931185774.0,12.028087441311747,19.307946904321163,11.376353111770255
,台州地区,131350011012.0,11516419307.0,119833591705.0,-10.710642997222882,-3.9009837814465236,-11.314588172840045
,温州地区,139294235345.0,22553594262.0,116740641083.0,-5.214304812301752,-1.2987061268400308,-5.935239581536733
,舟山地区,179140526521.0,117747529417.0,61392997104.0,7.950927890034489,4.421068018266461,15.435034022602977
, 单位：人民币，元，%,,,,,,
