Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,单位：万人民币,单位：万人民币,单位：万人民币
收发货人所在地,进出口,进出口,出口,出口,进口,进口,累计比去年同期±％,累计比去年同期±％.1,累计比去年同期±％.2
收发货人所在地,7月,1至7月,7月,1至7月,7月,1至7月,进出口,出口,进口
总值,391024806,2569694907,230767439,1530478292,160257367,1039216615,3.5,7.3,-1.6
北京市,28912812,182076890,5332133,35408120,23580680,146668770,-13.4,1.8,-16.4
中关村国家自主创新示范区,571138,3654282,200085,1215671,371053,2438611,18.7,0.3,30.6
北京经济技术开发区,1627911,10506771,586742,3729208,1041169,6777563,-0.3,16.7,-7.7
天津市,7346824,47045574,3722349,24441531,3624475,22604043,-0.4,10.4,-9.9
天津滨海新区,5022246,32119039,2075253,13907373,2946993,18211666,-2.9,8.6,-10.2
天津经济技术开发区,2484656,13957857,1136301,7090277,1348355,6867580,7.8,16.3,0.2
天津滨海高新技术产业开发区,133454,1002022,110621,846534,22833,155488,-9.9,-3.5,-34.0
河北省,5657834,34676862,3365502,21493714,2292331,13183148,-3.8,-0.5,-8.9
石家庄市,1264424,7967599,826717,5221423,437707,2746176,8.4,20.7,-9.3
石家庄高新技术产业开发区,643,4322,643,4321,0,0,-26.5,-6.5,-100.0
唐山市,1150997,7530475,359214,2319743,791783,5210732,-14.1,-13.7,-14.2
曹妃甸经济技术开发区,46301,260014,11724,47703,34577,212311,-43.8,-78.2,-13.0
秦皇岛市,386831,2437713,260246,1731228,126585,706485,3.9,7.8,-4.6
秦皇岛经济技术开发区,288988,1879316,205519,1352738,83469,526578,8.5,17.6,-9.5
保定市,671378,4834864,633828,4635001,37550,199863,4.2,4.8,-9.5
保定高新技术产业开发区,1544,9971,1382,9298,162,673,-3.1,-6.7,102.1
廊坊市,386409,2818891,255121,1476704,131288,1342187,-17.4,-9.7,-24.5
廊坊经济技术开发区,8502,47578,6052,31649,2450,15929,-83.2,91.8,-94.0
雄安新区,667677,1309919,123041,275557,544636,1034362,529.0,61.3,2660.6
山西省,1166544,8013017,644816,4128713,521728,3884304,-20.7,-32.3,-3.0
太原市,796975,5317999,463353,2849513,333622,2468486,-30.1,-41.1,-10.9
太原经济技术开发区,304751,2627613,173577,1683104,131174,944509,-46.0,-54.7,-18.3
太原高新技术产业开发区,57337,433723,12870,85938,44467,347785,128.6,33.1,177.9
大同市,29191,208037,22979,172797,6212,35241,-5.8,-14.0,78.2
大同经济技术开发区,20607,151092,18246,132255,2361,18836,0.0,-11.5,1030.8
晋中市,54682,328836,28588,172195,26094,156642,38.5,5.4,111.5
晋中经济技术开发区,5250,30906,5129,18212,121,12694,38.4,4.7,157.8
长治市,10879,81871,10725,79149,154,2723,-10.5,15.5,-88.1
长治高新技术产业开发区,2796,16157,2692,13880,104,2277,8.9,12.1,-7.0
内蒙古自治区,1847813,11974741,739382,4691595,1108431,7283147,1.6,4.4,-0.1
呼和浩特市,229956,1462383,140780,860395,89176,601988,9.1,25.6,-8.1
包头市,178718,1420018,86583,721213,92135,698805,-28.0,-18.9,-35.4
包头高新技术产业开发区,23805,166195,15489,113906,8316,52289,340.4,259.7,760.4
二连浩特市,69636,505532,31156,208366,38480,297166,-6.9,4.4,-13.5
满洲里市,228821,1208582,152912,629545,75909,579036,0.4,-15.6,26.5
辽宁省,6706709,43761313,3554722,23477666,3151987,20283647,0.4,13.6,-11.5
沈阳市,1364910,7374559,600016,3451018,764895,3923541,-13.2,12.0,-27.6
沈阳经济技术开发区,797559,4021500,193861,1022823,603697,2998677,-18.2,-19.1,-17.9
